	Tput(Mbps)	config
77898	0.0	mmWave-Drive
77901	7.972	mmWave-Drive
78328	479.42	mmWave-Drive
78920	293.552	mmWave-Drive
79168	398.971	mmWave-Drive
79738	582.651	mmWave-Drive
80305	611.707	mmWave-Drive
80840	501.555	mmWave-Drive
81440	401.317	mmWave-Drive
82006	146.798	mmWave-Drive
82177	0.101	mmWave-Drive
82183	0.132	mmWave-Drive
82188	7.073	mmWave-Drive
82358	540.239	mmWave-Drive
82942	71.811	mmWave-Drive
83048	0.115	mmWave-Drive
83053	0.163	mmWave-Drive
83054	0.143	mmWave-Drive
83059	0.152	mmWave-Drive
83064	0.11	mmWave-Drive
83072	0.119	mmWave-Drive
83080	0.125	mmWave-Drive
83088	0.11	mmWave-Drive
83095	0.114	mmWave-Drive
83104	0.109	mmWave-Drive
83111	0.122	mmWave-Drive
83118	0.065	mmWave-Drive
83123	316.433	mmWave-Drive
83567	541.596	mmWave-Drive
84111	565.854	mmWave-Drive
84652	571.84	mmWave-Drive
85272	559.252	mmWave-Drive
85865	680.266	mmWave-Drive
86455	625.223	mmWave-Drive
87019	763.264	mmWave-Drive
87638	611.41	mmWave-Drive
88218	634.197	mmWave-Drive
88838	485.193	mmWave-Drive
89277	583.861	mmWave-Drive
89838	488.29	mmWave-Drive
90303	562.045	mmWave-Drive
90735	716.54	mmWave-Drive
91318	814.956	mmWave-Drive
91941	821.665	mmWave-Drive
92549	828.151	mmWave-Drive
93166	182.079	mmWave-Drive
93451	640.923	mmWave-Drive
94069	684.157	mmWave-Drive
94644	765.459	mmWave-Drive
95273	834.108	mmWave-Drive
95890	760.514	mmWave-Drive
96500	666.509	mmWave-Drive
97101	580.957	mmWave-Drive
97693	646.107	mmWave-Drive
98329	543.063	mmWave-Drive
98929	564.026	mmWave-Drive
99548	630.103	mmWave-Drive
100142	641.382	mmWave-Drive
100766	584.17	mmWave-Drive
101358	653.358	mmWave-Drive
101987	617.979	mmWave-Drive
102572	608.557	mmWave-Drive
103152	578.192	mmWave-Drive
103791	604.331	mmWave-Drive
104392	709.957	mmWave-Drive
105011	627.272	mmWave-Drive
105593	656.636	mmWave-Drive
106213	525.839	mmWave-Drive
106827	512.499	mmWave-Drive
107425	505.287	mmWave-Drive
108050	526.302	mmWave-Drive
108660	520.264	mmWave-Drive
109259	706.744	mmWave-Drive
109864	704.536	mmWave-Drive
110473	587.179	mmWave-Drive
111067	229.258	mmWave-Drive
111272	0.04	mmWave-Drive
111274	0.061	mmWave-Drive
111281	0.135	mmWave-Drive
111289	288.273	mmWave-Drive
111689	545.25	mmWave-Drive
112283	679.943	mmWave-Drive
112915	697.693	mmWave-Drive
113517	749.427	mmWave-Drive
114112	663.797	mmWave-Drive
114744	675.931	mmWave-Drive
115345	577.187	mmWave-Drive
115947	568.538	mmWave-Drive
116549	589.815	mmWave-Drive
117134	620.639	mmWave-Drive
117767	530.428	mmWave-Drive
118386	563.083	mmWave-Drive
118987	620.314	mmWave-Drive
119580	768.574	mmWave-Drive
120199	788.778	mmWave-Drive
120808	754.885	mmWave-Drive
121418	734.323	mmWave-Drive
122028	701.53	mmWave-Drive
122661	691.621	mmWave-Drive
123247	710.13	mmWave-Drive
123865	806.401	mmWave-Drive
124458	793.472	mmWave-Drive
125075	776.606	mmWave-Drive
125671	700.103	mmWave-Drive
126280	579.101	mmWave-Drive
126913	640.534	mmWave-Drive
127505	601.152	mmWave-Drive
128130	459.015	mmWave-Drive
128717	440.386	mmWave-Drive
129334	418.635	mmWave-Drive
129951	350.861	mmWave-Drive
130553	297.813	mmWave-Drive
131165	291.495	mmWave-Drive
131779	269.344	mmWave-Drive
132407	294.675	mmWave-Drive
132983	109.271	mmWave-Drive
133186	0.12	mmWave-Drive
133191	0.087	mmWave-Drive
133198	0.119	mmWave-Drive
133205	0.096	mmWave-Drive
133212	0.135	mmWave-Drive
133220	0.132	mmWave-Drive
133227	0.099	mmWave-Drive
133235	0.129	mmWave-Drive
133243	0.114	mmWave-Drive
133251	0.132	mmWave-Drive
133258	0.123	mmWave-Drive
133268	0.116	mmWave-Drive
133275	0.122	mmWave-Drive
133284	0.116	mmWave-Drive
133292	0.17	mmWave-Drive
133300	0.0	mmWave-Drive
133303	0.972	mmWave-Drive
133411	728.199	mmWave-Drive
133976	922.42	mmWave-Drive
134533	888.172	mmWave-Drive
135089	667.978	mmWave-Drive
135702	889.26	mmWave-Drive
136309	844.355	mmWave-Drive
136929	965.374	mmWave-Drive
137451	885.113	mmWave-Drive
138068	858.796	mmWave-Drive
138686	836.743	mmWave-Drive
139280	825.16	mmWave-Drive
139858	775.78	mmWave-Drive
140491	953.837	mmWave-Drive
141078	992.17	mmWave-Drive
141676	1275.754	mmWave-Drive
142238	591.278	mmWave-Drive
142681	743.906	mmWave-Drive
143289	663.59	mmWave-Drive
143906	689.2	mmWave-Drive
144492	1029.013	mmWave-Drive
145085	1150.801	mmWave-Drive
145641	983.516	mmWave-Drive
146129	1019.241	mmWave-Drive
146565	1292.661	mmWave-Drive
147085	974.588	mmWave-Drive
147607	966.57	mmWave-Drive
148173	1036.145	mmWave-Drive
148806	1052.047	mmWave-Drive
149407	900.312	mmWave-Drive
150025	895.529	mmWave-Drive
150584	1019.12	mmWave-Drive
151202	912.213	mmWave-Drive
151730	1180.528	mmWave-Drive
152305	978.005	mmWave-Drive
152815	1004.887	mmWave-Drive
153215	755.767	mmWave-Drive
153762	1159.923	mmWave-Drive
154337	1061.649	mmWave-Drive
154909	1449.625	mmWave-Drive
155482	1761.33	mmWave-Drive
156092	1763.714	mmWave-Drive
156656	1884.047	mmWave-Drive
157230	1864.628	mmWave-Drive
157777	1642.793	mmWave-Drive
158384	1377.621	mmWave-Drive
158987	1276.012	mmWave-Drive
159621	1421.361	mmWave-Drive
160202	1501.84	mmWave-Drive
160829	942.433	mmWave-Drive
161318	1238.579	mmWave-Drive
161934	1522.249	mmWave-Drive
162540	1781.847	mmWave-Drive
163147	1836.72	mmWave-Drive
163755	1442.506	mmWave-Drive
164320	2044.92	mmWave-Drive
164912	1880.523	mmWave-Drive
165521	1805.867	mmWave-Drive
166137	1272.25	mmWave-Drive
166737	1181.209	mmWave-Drive
167118	955.237	mmWave-Drive
167472	1410.778	mmWave-Drive
168013	1488.608	mmWave-Drive
168625	1571.11	mmWave-Drive
169168	1807.654	mmWave-Drive
169675	1285.554	mmWave-Drive
170132	1522.891	mmWave-Drive
170702	1016.309	mmWave-Drive
171163	1415.706	mmWave-Drive
171732	1941.818	mmWave-Drive
172348	1856.902	mmWave-Drive
172941	1386.747	mmWave-Drive
173567	1158.544	mmWave-Drive
174160	1215.312	mmWave-Drive
174757	1222.792	mmWave-Drive
175381	1292.651	mmWave-Drive
175996	1187.818	mmWave-Drive
176589	1197.055	mmWave-Drive
177231	1100.807	mmWave-Drive
177828	1143.687	mmWave-Drive
178426	1280.588	mmWave-Drive
179037	1288.167	mmWave-Drive
179670	1205.517	mmWave-Drive
180295	1177.996	mmWave-Drive
180873	1620.637	mmWave-Drive
181491	1947.42	mmWave-Drive
182083	1937.283	mmWave-Drive
182716	1911.626	mmWave-Drive
183319	1720.219	mmWave-Drive
183937	1777.889	mmWave-Drive
184504	1666.239	mmWave-Drive
185120	2003.458	mmWave-Drive
185704	1124.57	mmWave-Drive
186331	1421.001	mmWave-Drive
186949	1111.048	mmWave-Drive
187558	907.249	mmWave-Drive
188168	917.609	mmWave-Drive
188768	1031.705	mmWave-Drive
189410	925.619	mmWave-Drive
189996	1090.046	mmWave-Drive
190621	1115.76	mmWave-Drive
191231	1234.34	mmWave-Drive
191841	1014.98	mmWave-Drive
192448	1101.065	mmWave-Drive
193055	1161.21	mmWave-Drive
193671	1334.016	mmWave-Drive
194266	1381.798	mmWave-Drive
194823	1158.68	mmWave-Drive
195435	1308.082	mmWave-Drive
196026	1591.99	mmWave-Drive
196630	1790.694	mmWave-Drive
197232	1784.057	mmWave-Drive
197850	1507.44	mmWave-Drive
198468	1023.053	mmWave-Drive
199077	1022.371	mmWave-Drive
199687	977.79	mmWave-Drive
200313	763.583	mmWave-Drive
200917	792.915	mmWave-Drive
201532	618.243	mmWave-Drive
202139	490.703	mmWave-Drive
202629	472.593	mmWave-Drive
203245	455.702	mmWave-Drive
203856	510.512	mmWave-Drive
204464	451.637	mmWave-Drive
205070	609.323	mmWave-Drive
205685	832.437	mmWave-Drive
206295	487.103	mmWave-Drive
206892	365.786	mmWave-Drive
207530	539.797	mmWave-Drive
208139	1209.688	mmWave-Drive
208697	1324.335	mmWave-Drive
209330	1041.042	mmWave-Drive
209938	839.424	mmWave-Drive
210556	1005.205	mmWave-Drive
211168	750.525	mmWave-Drive
211783	518.251	mmWave-Drive
212394	664.696	mmWave-Drive
213020	728.824	mmWave-Drive
213597	813.782	mmWave-Drive
214210	873.043	mmWave-Drive
214832	485.551	mmWave-Drive
215427	451.63	mmWave-Drive
216051	473.052	mmWave-Drive
216668	539.839	mmWave-Drive
217279	546.12	mmWave-Drive
217896	430.226	mmWave-Drive
218499	393.1	mmWave-Drive
219132	403.589	mmWave-Drive
219740	386.438	mmWave-Drive
220338	558.541	mmWave-Drive
220950	1067.892	mmWave-Drive
221555	686.417	mmWave-Drive
222168	581.282	mmWave-Drive
222790	368.397	mmWave-Drive
223397	425.124	mmWave-Drive
223995	677.826	mmWave-Drive
224618	587.861	mmWave-Drive
225228	613.419	mmWave-Drive
225846	494.588	mmWave-Drive
226447	518.962	mmWave-Drive
227065	419.346	mmWave-Drive
227675	490.28	mmWave-Drive
228277	559.176	mmWave-Drive
228910	508.971	mmWave-Drive
229505	559.811	mmWave-Drive
230111	558.109	mmWave-Drive
230717	560.974	mmWave-Drive
231340	455.592	mmWave-Drive
231926	467.365	mmWave-Drive
232544	454.956	mmWave-Drive
233193	318.764	mmWave-Drive
233802	301.779	mmWave-Drive
234404	429.734	mmWave-Drive
234898	203.695	mmWave-Drive
235172	282.724	mmWave-Drive
235625	303.171	mmWave-Drive
236177	657.965	mmWave-Drive
236691	1032.529	mmWave-Drive
237375	1169.576	mmWave-Drive
237944	1335.709	mmWave-Drive
238487	1003.887	mmWave-Drive
239104	987.656	mmWave-Drive
239716	923.451	mmWave-Drive
240342	953.856	mmWave-Drive
240935	1020.054	mmWave-Drive
241538	1242.59	mmWave-Drive
242133	1513.835	mmWave-Drive
242755	992.338	mmWave-Drive
243379	758.311	mmWave-Drive
243979	897.46	mmWave-Drive
244592	1053.828	mmWave-Drive
245196	1081.547	mmWave-Drive
245844	1089.418	mmWave-Drive
246422	1199.246	mmWave-Drive
247039	1092.809	mmWave-Drive
247644	912.515	mmWave-Drive
248259	680.581	mmWave-Drive
248892	886.911	mmWave-Drive
249478	782.402	mmWave-Drive
250104	865.966	mmWave-Drive
250701	900.473	mmWave-Drive
251310	668.867	mmWave-Drive
251916	790.827	mmWave-Drive
252550	924.156	mmWave-Drive
253136	874.097	mmWave-Drive
253753	1106.418	mmWave-Drive
254363	1173.98	mmWave-Drive
254972	1314.393	mmWave-Drive
255582	1245.709	mmWave-Drive
256192	1241.758	mmWave-Drive
256811	1284.623	mmWave-Drive
257358	1465.374	mmWave-Drive
257912	1322.797	mmWave-Drive
258458	1311.277	mmWave-Drive
259012	1447.967	mmWave-Drive
259638	1130.884	mmWave-Drive
260247	1000.824	mmWave-Drive
260853	1009.131	mmWave-Drive
261466	958.201	mmWave-Drive
262083	946.923	mmWave-Drive
262694	775.49	mmWave-Drive
263288	865.387	mmWave-Drive
263907	339.087	mmWave-Drive
264140	0.357	mmWave-Drive
264148	0.136	mmWave-Drive
264156	0.117	mmWave-Drive
264163	431.769	mmWave-Drive
264528	967.948	mmWave-Drive
265122	1051.422	mmWave-Drive
265745	1198.779	mmWave-Drive
266341	1164.267	mmWave-Drive
266942	1105.093	mmWave-Drive
267560	1073.936	mmWave-Drive
268194	1230.933	mmWave-Drive
268787	1156.513	mmWave-Drive
269396	1173.621	mmWave-Drive
270007	1144.912	mmWave-Drive
270616	1068.951	mmWave-Drive
271174	1039.701	mmWave-Drive
271730	1154.106	mmWave-Drive
272349	1153.381	mmWave-Drive
272950	1151.146	mmWave-Drive
273568	1155.122	mmWave-Drive
274170	1158.414	mmWave-Drive
274795	1145.327	mmWave-Drive
275396	1157.127	mmWave-Drive
276014	1156.076	mmWave-Drive
276618	1143.889	mmWave-Drive
277233	1153.374	mmWave-Drive
