	Tput(Mbps)	config
125571	1300.0	mmWave-Walk
125572	140.0	mmWave-Walk
125574	229.0	mmWave-Walk
125587	198.0	mmWave-Walk
125607	26.4	mmWave-Walk
125608	197.0	mmWave-Walk
125622	194.0	mmWave-Walk
125624	127.0	mmWave-Walk
125634	188.0	mmWave-Walk
131152	1300.0	mmWave-Walk
131153	186.0	mmWave-Walk
131154	294.0	mmWave-Walk
131155	242.0	mmWave-Walk
131156	44.7	mmWave-Walk
131159	252.0	mmWave-Walk
131162	246.0	mmWave-Walk
131179	170.0	mmWave-Walk
131180	250.0	mmWave-Walk
136753	1680.0	mmWave-Walk
136754	169.0	mmWave-Walk
136759	282.0	mmWave-Walk
136773	235.0	mmWave-Walk
136790	45.9	mmWave-Walk
136795	223.0	mmWave-Walk
136796	220.0	mmWave-Walk
136802	150.0	mmWave-Walk
136815	224.0	mmWave-Walk
142345	1550.0	mmWave-Walk
142366	131.0	mmWave-Walk
142373	246.0	mmWave-Walk
142376	203.0	mmWave-Walk
142384	54.0	mmWave-Walk
142405	210.0	mmWave-Walk
142411	205.0	mmWave-Walk
142412	140.0	mmWave-Walk
142413	213.0	mmWave-Walk
147953	1400.0	mmWave-Walk
147954	89.3	mmWave-Walk
147960	256.0	mmWave-Walk
147972	215.0	mmWave-Walk
147973	53.3	mmWave-Walk
147978	205.0	mmWave-Walk
147979	210.0	mmWave-Walk
147995	143.0	mmWave-Walk
147996	213.0	mmWave-Walk
152385	1390.0	mmWave-Walk
152401	76.3	mmWave-Walk
152402	279.0	mmWave-Walk
152422	231.0	mmWave-Walk
152423	75.5	mmWave-Walk
152424	251.0	mmWave-Walk
152425	254.0	mmWave-Walk
152436	173.0	mmWave-Walk
152437	227.0	mmWave-Walk
157987	1570.0	mmWave-Walk
157988	53.7	mmWave-Walk
157991	232.0	mmWave-Walk
157992	191.0	mmWave-Walk
158023	44.2	mmWave-Walk
158024	188.0	mmWave-Walk
158025	176.0	mmWave-Walk
158026	116.0	mmWave-Walk
158029	191.0	mmWave-Walk
163590	1190.0	mmWave-Walk
163609	57.0	mmWave-Walk
163610	236.0	mmWave-Walk
163611	204.0	mmWave-Walk
163612	59.9	mmWave-Walk
163625	201.0	mmWave-Walk
163626	213.0	mmWave-Walk
163627	145.0	mmWave-Walk
163638	198.0	mmWave-Walk
169208	1310.0	mmWave-Walk
169238	73.0	mmWave-Walk
169239	287.0	mmWave-Walk
169240	243.0	mmWave-Walk
169241	65.0	mmWave-Walk
169242	240.0	mmWave-Walk
169243	238.0	mmWave-Walk
169244	122.0	mmWave-Walk
169262	243.0	mmWave-Walk
174800	1510.0	mmWave-Walk
174823	69.4	mmWave-Walk
174825	264.0	mmWave-Walk
174826	221.0	mmWave-Walk
174836	68.4	mmWave-Walk
174837	222.0	mmWave-Walk
174838	234.0	mmWave-Walk
174840	113.0	mmWave-Walk
174845	222.0	mmWave-Walk
180432	1410.0	mmWave-Walk
180433	73.4	mmWave-Walk
180434	273.0	mmWave-Walk
180436	232.0	mmWave-Walk
180438	75.8	mmWave-Walk
180439	229.0	mmWave-Walk
180440	250.0	mmWave-Walk
180441	127.0	mmWave-Walk
180455	229.0	mmWave-Walk
185968	1490.0	mmWave-Walk
185969	60.5	mmWave-Walk
185973	230.0	mmWave-Walk
186003	197.0	mmWave-Walk
186009	60.0	mmWave-Walk
186010	195.0	mmWave-Walk
186011	217.0	mmWave-Walk
186023	107.0	mmWave-Walk
186052	196.0	mmWave-Walk
191571	1260.0	mmWave-Walk
191572	68.5	mmWave-Walk
191573	253.0	mmWave-Walk
191574	217.0	mmWave-Walk
191575	71.0	mmWave-Walk
191576	215.0	mmWave-Walk
191577	251.0	mmWave-Walk
191578	130.0	mmWave-Walk
191579	218.0	mmWave-Walk
197216	1420.0	mmWave-Walk
197217	52.2	mmWave-Walk
197220	192.0	mmWave-Walk
197223	169.0	mmWave-Walk
197244	49.8	mmWave-Walk
197247	162.0	mmWave-Walk
197248	185.0	mmWave-Walk
197256	93.4	mmWave-Walk
197302	159.0	mmWave-Walk
202777	1060.0	mmWave-Walk
202784	69.0	mmWave-Walk
202789	211.0	mmWave-Walk
202806	213.0	mmWave-Walk
202816	70.5	mmWave-Walk
202818	181.0	mmWave-Walk
202819	234.0	mmWave-Walk
202820	134.0	mmWave-Walk
202821	187.0	mmWave-Walk
208399	1300.0	mmWave-Walk
208400	68.1	mmWave-Walk
208416	242.0	mmWave-Walk
208418	190.0	mmWave-Walk
208435	65.9	mmWave-Walk
208436	204.0	mmWave-Walk
208437	227.0	mmWave-Walk
208438	124.0	mmWave-Walk
208439	196.0	mmWave-Walk
213993	1320.0	mmWave-Walk
213995	95.0	mmWave-Walk
214011	335.0	mmWave-Walk
214012	201.0	mmWave-Walk
214046	77.3	mmWave-Walk
214047	291.0	mmWave-Walk
214048	219.0	mmWave-Walk
214053	168.0	mmWave-Walk
214063	191.0	mmWave-Walk
219246	1580.0	mmWave-Walk
219273	87.0	mmWave-Walk
219276	300.0	mmWave-Walk
219277	183.0	mmWave-Walk
219278	61.3	mmWave-Walk
219293	265.0	mmWave-Walk
219294	220.0	mmWave-Walk
219307	159.0	mmWave-Walk
219308	181.0	mmWave-Walk
224829	1460.0	mmWave-Walk
224846	84.9	mmWave-Walk
224894	302.0	mmWave-Walk
224895	177.0	mmWave-Walk
224896	57.7	mmWave-Walk
224898	251.0	mmWave-Walk
224899	199.0	mmWave-Walk
224900	144.0	mmWave-Walk
224901	173.0	mmWave-Walk
230421	1390.0	mmWave-Walk
230439	70.8	mmWave-Walk
230450	251.0	mmWave-Walk
230467	150.0	mmWave-Walk
230474	48.1	mmWave-Walk
230479	219.0	mmWave-Walk
230484	124.0	mmWave-Walk
230486	121.0	mmWave-Walk
230509	147.0	mmWave-Walk
236008	1130.0	mmWave-Walk
236025	66.3	mmWave-Walk
236026	236.0	mmWave-Walk
236029	136.0	mmWave-Walk
236046	44.5	mmWave-Walk
236051	196.0	mmWave-Walk
236062	113.0	mmWave-Walk
236063	113.0	mmWave-Walk
236069	135.0	mmWave-Walk
241566	1040.0	mmWave-Walk
241583	78.0	mmWave-Walk
241606	277.0	mmWave-Walk
241607	163.0	mmWave-Walk
241610	52.7	mmWave-Walk
241612	242.0	mmWave-Walk
241627	136.0	mmWave-Walk
241634	125.0	mmWave-Walk
241638	164.0	mmWave-Walk
246330	1240.0	mmWave-Walk
246379	77.0	mmWave-Walk
246420	283.0	mmWave-Walk
246500	164.0	mmWave-Walk
246596	53.6	mmWave-Walk
246657	236.0	mmWave-Walk
246721	146.0	mmWave-Walk
246809	131.0	mmWave-Walk
246943	159.0	mmWave-Walk
252767	1250.0	mmWave-Walk
252786	72.8	mmWave-Walk
252795	268.0	mmWave-Walk
252822	158.0	mmWave-Walk
252824	57.3	mmWave-Walk
252863	232.0	mmWave-Walk
252873	151.0	mmWave-Walk
252874	135.0	mmWave-Walk
252876	157.0	mmWave-Walk
258361	1230.0	mmWave-Walk
258374	77.4	mmWave-Walk
258387	287.0	mmWave-Walk
258389	168.0	mmWave-Walk
258402	50.0	mmWave-Walk
258412	256.0	mmWave-Walk
258415	140.0	mmWave-Walk
258417	122.0	mmWave-Walk
258433	161.0	mmWave-Walk
263947	1260.0	mmWave-Walk
263963	62.1	mmWave-Walk
263987	224.0	mmWave-Walk
263997	131.0	mmWave-Walk
263998	47.1	mmWave-Walk
263999	187.0	mmWave-Walk
264000	85.4	mmWave-Walk
264002	107.0	mmWave-Walk
264011	92.6	mmWave-Walk
269547	937.0	mmWave-Walk
269566	58.0	mmWave-Walk
269581	215.0	mmWave-Walk
269598	122.0	mmWave-Walk
269604	39.1	mmWave-Walk
269605	186.0	mmWave-Walk
269625	86.7	mmWave-Walk
269626	100.0	mmWave-Walk
269643	92.0	mmWave-Walk
275172	899.0	mmWave-Walk
275173	65.0	mmWave-Walk
275185	295.0	mmWave-Walk
275187	166.0	mmWave-Walk
275204	50.9	mmWave-Walk
275209	252.0	mmWave-Walk
275212	111.0	mmWave-Walk
275217	120.0	mmWave-Walk
275247	127.0	mmWave-Walk
280760	1190.0	mmWave-Walk
280775	46.5	mmWave-Walk
280793	279.0	mmWave-Walk
280796	165.0	mmWave-Walk
280810	58.4	mmWave-Walk
280832	240.0	mmWave-Walk
280833	125.0	mmWave-Walk
280834	116.0	mmWave-Walk
280838	131.0	mmWave-Walk
286350	1160.0	mmWave-Walk
286379	45.4	mmWave-Walk
286385	313.0	mmWave-Walk
286400	176.0	mmWave-Walk
286406	59.5	mmWave-Walk
286414	261.0	mmWave-Walk
286424	124.0	mmWave-Walk
286441	99.9	mmWave-Walk
286442	144.0	mmWave-Walk
291922	1220.0	mmWave-Walk
291923	45.9	mmWave-Walk
291924	302.0	mmWave-Walk
291925	171.0	mmWave-Walk
291926	58.2	mmWave-Walk
291927	258.0	mmWave-Walk
291928	128.0	mmWave-Walk
291929	106.0	mmWave-Walk
291930	140.0	mmWave-Walk
297108	1210.0	mmWave-Walk
297109	38.3	mmWave-Walk
297110	231.0	mmWave-Walk
297114	141.0	mmWave-Walk
297119	55.5	mmWave-Walk
297220	204.0	mmWave-Walk
297261	110.0	mmWave-Walk
297262	97.0	mmWave-Walk
297263	118.0	mmWave-Walk
303117	995.0	mmWave-Walk
303138	39.0	mmWave-Walk
303157	259.0	mmWave-Walk
303158	149.0	mmWave-Walk
303173	57.1	mmWave-Walk
303184	212.0	mmWave-Walk
303187	78.7	mmWave-Walk
303194	99.5	mmWave-Walk
303195	117.0	mmWave-Walk
308714	1010.0	mmWave-Walk
308733	45.0	mmWave-Walk
308738	264.0	mmWave-Walk
308753	161.0	mmWave-Walk
308765	69.2	mmWave-Walk
308771	232.0	mmWave-Walk
308775	55.1	mmWave-Walk
308796	117.0	mmWave-Walk
308799	131.0	mmWave-Walk
314311	1070.0	mmWave-Walk
314336	50.5	mmWave-Walk
314338	333.0	mmWave-Walk
314355	186.0	mmWave-Walk
314365	86.4	mmWave-Walk
314366	268.0	mmWave-Walk
314388	51.7	mmWave-Walk
314389	130.0	mmWave-Walk
314392	154.0	mmWave-Walk
319891	1260.0	mmWave-Walk
319896	80.9	mmWave-Walk
319912	495.0	mmWave-Walk
319916	198.0	mmWave-Walk
319917	150.0	mmWave-Walk
319927	316.0	mmWave-Walk
319937	84.1	mmWave-Walk
319938	154.0	mmWave-Walk
319939	235.0	mmWave-Walk
321248	1710.0	mmWave-Walk
321249	5.33	mmWave-Walk
321252	42.7	mmWave-Walk
321257	9.51	mmWave-Walk
321258	29.8	mmWave-Walk
321259	13.0	mmWave-Walk
321274	10.6	mmWave-Walk
321287	12.6	mmWave-Walk
321300	21.2	mmWave-Walk
326388	145.0	mmWave-Walk
326413	48.9	mmWave-Walk
326417	317.0	mmWave-Walk
326419	96.0	mmWave-Walk
326447	115.0	mmWave-Walk
326452	146.0	mmWave-Walk
326458	62.8	mmWave-Walk
326475	106.0	mmWave-Walk
326486	158.0	mmWave-Walk
331994	1050.0	mmWave-Walk
332025	65.6	mmWave-Walk
332026	357.0	mmWave-Walk
332028	117.0	mmWave-Walk
332032	126.0	mmWave-Walk
332037	186.0	mmWave-Walk
332041	66.5	mmWave-Walk
332042	121.0	mmWave-Walk
332053	179.0	mmWave-Walk
336582	1220.0	mmWave-Walk
336584	62.4	mmWave-Walk
336589	331.0	mmWave-Walk
336603	119.0	mmWave-Walk
336609	131.0	mmWave-Walk
336627	164.0	mmWave-Walk
336628	63.4	mmWave-Walk
336632	116.0	mmWave-Walk
336638	188.0	mmWave-Walk
342218	1170.0	mmWave-Walk
342219	63.4	mmWave-Walk
342234	334.0	mmWave-Walk
342249	112.0	mmWave-Walk
342253	126.0	mmWave-Walk
342259	156.0	mmWave-Walk
342260	63.0	mmWave-Walk
342265	113.0	mmWave-Walk
342280	181.0	mmWave-Walk
347731	1150.0	mmWave-Walk
347732	72.5	mmWave-Walk
347797	482.0	mmWave-Walk
347798	165.0	mmWave-Walk
347799	188.0	mmWave-Walk
347800	196.0	mmWave-Walk
347801	92.1	mmWave-Walk
347802	165.0	mmWave-Walk
347809	272.0	mmWave-Walk
353279	1630.0	mmWave-Walk
353280	102.0	mmWave-Walk
353281	716.0	mmWave-Walk
353284	240.0	mmWave-Walk
353319	276.0	mmWave-Walk
353329	244.0	mmWave-Walk
353372	136.0	mmWave-Walk
353373	243.0	mmWave-Walk
353374	386.0	mmWave-Walk
357566	2340.0	mmWave-Walk
357567	80.5	mmWave-Walk
357568	653.0	mmWave-Walk
357569	218.0	mmWave-Walk
357570	253.0	mmWave-Walk
357571	230.0	mmWave-Walk
357572	122.0	mmWave-Walk
357573	213.0	mmWave-Walk
357574	349.0	mmWave-Walk
360300	2120.0	mmWave-Walk
360301	27.9	mmWave-Walk
360302	244.0	mmWave-Walk
360303	84.3	mmWave-Walk
360304	98.9	mmWave-Walk
360305	91.5	mmWave-Walk
360306	46.6	mmWave-Walk
360307	84.6	mmWave-Walk
360539	144.0	mmWave-Walk
366772	822.0	mmWave-Walk
366789	44.0	mmWave-Walk
366799	326.0	mmWave-Walk
366800	162.0	mmWave-Walk
366823	217.0	mmWave-Walk
366824	198.0	mmWave-Walk
366827	102.0	mmWave-Walk
366828	183.0	mmWave-Walk
366829	310.0	mmWave-Walk
372329	1540.0	mmWave-Walk
372331	24.7	mmWave-Walk
372332	239.0	mmWave-Walk
372351	105.0	mmWave-Walk
372366	237.0	mmWave-Walk
372388	219.0	mmWave-Walk
372389	126.0	mmWave-Walk
372390	206.0	mmWave-Walk
372424	320.0	mmWave-Walk
377554	1480.0	mmWave-Walk
377555	34.9	mmWave-Walk
377556	385.0	mmWave-Walk
377557	172.0	mmWave-Walk
377558	432.0	mmWave-Walk
377559	414.0	mmWave-Walk
377560	152.0	mmWave-Walk
377568	377.0	mmWave-Walk
377569	444.0	mmWave-Walk
383347	2409.99987	mmWave-Walk
383369	18.8	mmWave-Walk
383370	306.0	mmWave-Walk
383397	136.0	mmWave-Walk
383401	209.0	mmWave-Walk
383402	357.0	mmWave-Walk
383427	122.0	mmWave-Walk
383429	352.0	mmWave-Walk
383430	351.0	mmWave-Walk
388931	1850.0	mmWave-Walk
388949	17.2	mmWave-Walk
388954	236.0	mmWave-Walk
388966	108.0	mmWave-Walk
388997	177.0	mmWave-Walk
388998	269.0	mmWave-Walk
389000	102.0	mmWave-Walk
389008	270.0	mmWave-Walk
389014	272.0	mmWave-Walk
394514	1450.0	mmWave-Walk
394515	15.9	mmWave-Walk
394527	236.0	mmWave-Walk
394547	111.0	mmWave-Walk
394565	141.0	mmWave-Walk
394586	259.0	mmWave-Walk
394590	103.0	mmWave-Walk
394599	256.0	mmWave-Walk
394601	254.0	mmWave-Walk
400121	1380.0	mmWave-Walk
400148	14.9	mmWave-Walk
400169	199.0	mmWave-Walk
400178	94.8	mmWave-Walk
400180	133.0	mmWave-Walk
400196	213.0	mmWave-Walk
400201	86.8	mmWave-Walk
400230	216.0	mmWave-Walk
400231	219.0	mmWave-Walk
405723	1180.0	mmWave-Walk
405739	15.1	mmWave-Walk
405765	217.0	mmWave-Walk
405771	102.0	mmWave-Walk
405772	153.0	mmWave-Walk
405779	227.0	mmWave-Walk
405797	95.7	mmWave-Walk
405798	235.0	mmWave-Walk
405819	217.0	mmWave-Walk
410906	1260.0	mmWave-Walk
410907	15.8	mmWave-Walk
410908	231.0	mmWave-Walk
410909	108.0	mmWave-Walk
410910	133.0	mmWave-Walk
410911	229.0	mmWave-Walk
410912	99.3	mmWave-Walk
410913	225.0	mmWave-Walk
410914	149.0	mmWave-Walk
416940	1190.0	mmWave-Walk
416966	19.4	mmWave-Walk
416967	272.0	mmWave-Walk
416969	131.0	mmWave-Walk
416976	187.0	mmWave-Walk
416995	284.0	mmWave-Walk
416996	101.0	mmWave-Walk
416997	282.0	mmWave-Walk
417004	174.0	mmWave-Walk
420756	1450.0	mmWave-Walk
420773	13.7	mmWave-Walk
420780	186.0	mmWave-Walk
420791	88.8	mmWave-Walk
420799	110.0	mmWave-Walk
420806	175.0	mmWave-Walk
420807	63.8	mmWave-Walk
420809	180.0	mmWave-Walk
420830	112.0	mmWave-Walk
426273	930.0	mmWave-Walk
426293	19.3	mmWave-Walk
426325	273.0	mmWave-Walk
426326	127.0	mmWave-Walk
426348	184.0	mmWave-Walk
426349	276.0	mmWave-Walk
426370	96.2	mmWave-Walk
426371	279.0	mmWave-Walk
426373	137.0	mmWave-Walk
431899	1390.0	mmWave-Walk
431913	21.2	mmWave-Walk
431932	287.0	mmWave-Walk
431943	140.0	mmWave-Walk
431950	186.0	mmWave-Walk
431967	287.0	mmWave-Walk
431983	103.0	mmWave-Walk
431993	285.0	mmWave-Walk
431999	125.0	mmWave-Walk
437500	1430.0	mmWave-Walk
437509	23.5	mmWave-Walk
437530	299.0	mmWave-Walk
437531	142.0	mmWave-Walk
437532	199.0	mmWave-Walk
437547	302.0	mmWave-Walk
437549	110.0	mmWave-Walk
437562	303.0	mmWave-Walk
437567	111.0	mmWave-Walk
443054	1490.0	mmWave-Walk
443058	28.6	mmWave-Walk
443068	354.0	mmWave-Walk
443084	166.0	mmWave-Walk
443090	229.0	mmWave-Walk
443104	351.0	mmWave-Walk
443119	130.0	mmWave-Walk
443120	350.0	mmWave-Walk
443121	140.0	mmWave-Walk
448682	1750.0	mmWave-Walk
448719	32.0	mmWave-Walk
448720	338.0	mmWave-Walk
448721	169.0	mmWave-Walk
448725	227.0	mmWave-Walk
448726	341.0	mmWave-Walk
448744	127.0	mmWave-Walk
448760	341.0	mmWave-Walk
448762	145.0	mmWave-Walk
453340	1720.0	mmWave-Walk
453363	34.0	mmWave-Walk
453394	309.0	mmWave-Walk
453406	149.0	mmWave-Walk
453436	198.0	mmWave-Walk
453454	307.0	mmWave-Walk
453457	132.0	mmWave-Walk
453488	303.0	mmWave-Walk
453490	126.0	mmWave-Walk
458997	1560.0	mmWave-Walk
458998	44.3	mmWave-Walk
