	Tput(Mbps)	config
25860	725.812	Mid-band-Drive
25972	973.4	Mid-band-Drive
26113	820.567	Mid-band-Drive
26236	725.206	Mid-band-Drive
26365	630.017	Mid-band-Drive
26505	848.673	Mid-band-Drive
26622	487.444	Mid-band-Drive
26709	714.659	Mid-band-Drive
26847	826.014	Mid-band-Drive
26998	748.037	Mid-band-Drive
27134	893.821	Mid-band-Drive
27269	924.68	Mid-band-Drive
27424	832.866	Mid-band-Drive
27568	915.99	Mid-band-Drive
27719	703.269	Mid-band-Drive
27868	603.27	Mid-band-Drive
27990	684.05	Mid-band-Drive
28129	600.702	Mid-band-Drive
28243	820.594	Mid-band-Drive
28387	557.022	Mid-band-Drive
28492	472.44	Mid-band-Drive
28585	585.537	Mid-band-Drive
28682	700.983	Mid-band-Drive
28837	697.937	Mid-band-Drive
28970	502.28	Mid-band-Drive
29055	781.262	Mid-band-Drive
29191	758.034	Mid-band-Drive
29319	703.568	Mid-band-Drive
29467	767.395	Mid-band-Drive
29607	795.115	Mid-band-Drive
29740	535.602	Mid-band-Drive
29867	784.241	Mid-band-Drive
30011	800.557	Mid-band-Drive
30156	992.457	Mid-band-Drive
30315	759.577	Mid-band-Drive
30455	1050.151	Mid-band-Drive
30623	1024.174	Mid-band-Drive
30771	843.17	Mid-band-Drive
30921	908.534	Mid-band-Drive
31083	911.536	Mid-band-Drive
31242	884.285	Mid-band-Drive
31384	777.49	Mid-band-Drive
31545	574.921	Mid-band-Drive
31669	707.008	Mid-band-Drive
31826	815.107	Mid-band-Drive
31988	863.474	Mid-band-Drive
32136	799.855	Mid-band-Drive
32284	710.741	Mid-band-Drive
32414	444.223	Mid-band-Drive
32501	955.375	Mid-band-Drive
32648	1210.385	Mid-band-Drive
32801	1186.18	Mid-band-Drive
32969	869.607	Mid-band-Drive
33108	1108.536	Mid-band-Drive
33252	1227.086	Mid-band-Drive
33395	1002.762	Mid-band-Drive
33555	836.268	Mid-band-Drive
33696	790.392	Mid-band-Drive
33856	988.515	Mid-band-Drive
34004	1092.089	Mid-band-Drive
34165	995.818	Mid-band-Drive
34321	818.067	Mid-band-Drive
34456	870.616	Mid-band-Drive
34601	970.704	Mid-band-Drive
34756	1019.828	Mid-band-Drive
34921	1023.845	Mid-band-Drive
35086	776.378	Mid-band-Drive
35226	814.902	Mid-band-Drive
35363	842.834	Mid-band-Drive
35528	606.359	Mid-band-Drive
35644	873.6	Mid-band-Drive
35790	853.142	Mid-band-Drive
35927	1093.753	Mid-band-Drive
36092	1002.026	Mid-band-Drive
36253	505.331	Mid-band-Drive
36338	651.402	Mid-band-Drive
36480	929.605	Mid-band-Drive
36623	987.436	Mid-band-Drive
36784	841.119	Mid-band-Drive
36940	1026.031	Mid-band-Drive
37108	855.139	Mid-band-Drive
37260	814.214	Mid-band-Drive
37423	719.697	Mid-band-Drive
37563	831.937	Mid-band-Drive
37709	827.716	Mid-band-Drive
37833	931.183	Mid-band-Drive
37989	722.861	Mid-band-Drive
38145	674.553	Mid-band-Drive
38312	725.761	Mid-band-Drive
38474	921.8	Mid-band-Drive
38636	894.03	Mid-band-Drive
38786	930.577	Mid-band-Drive
38953	888.459	Mid-band-Drive
39115	856.704	Mid-band-Drive
39289	770.416	Mid-band-Drive
39405	1026.239	Mid-band-Drive
39554	1095.576	Mid-band-Drive
39713	1073.292	Mid-band-Drive
39875	1046.105	Mid-band-Drive
40028	925.116	Mid-band-Drive
40187	926.738	Mid-band-Drive
40338	877.72	Mid-band-Drive
40508	924.618	Mid-band-Drive
40657	887.922	Mid-band-Drive
40818	914.276	Mid-band-Drive
40986	1029.439	Mid-band-Drive
41136	877.899	Mid-band-Drive
41252	746.772	Mid-band-Drive
41358	1019.938	Mid-band-Drive
41515	597.74	Mid-band-Drive
41609	746.812	Mid-band-Drive
41727	1025.143	Mid-band-Drive
41883	877.545	Mid-band-Drive
42045	785.727	Mid-band-Drive
42220	951.034	Mid-band-Drive
42368	936.216	Mid-band-Drive
42543	960.579	Mid-band-Drive
42692	958.078	Mid-band-Drive
42853	967.181	Mid-band-Drive
43015	991.99	Mid-band-Drive
43173	1022.109	Mid-band-Drive
43335	878.577	Mid-band-Drive
43496	968.681	Mid-band-Drive
43655	807.516	Mid-band-Drive
43820	796.777	Mid-band-Drive
43972	974.838	Mid-band-Drive
44133	1010.036	Mid-band-Drive
44301	869.778	Mid-band-Drive
44450	945.359	Mid-band-Drive
44613	967.105	Mid-band-Drive
44774	972.576	Mid-band-Drive
44935	972.359	Mid-band-Drive
45103	739.055	Mid-band-Drive
45244	1095.915	Mid-band-Drive
45413	857.318	Mid-band-Drive
45569	912.485	Mid-band-Drive
45730	1017.826	Mid-band-Drive
45892	1073.001	Mid-band-Drive
46054	1056.207	Mid-band-Drive
46215	1115.813	Mid-band-Drive
46377	1139.366	Mid-band-Drive
46539	983.219	Mid-band-Drive
46691	975.372	Mid-band-Drive
46859	1068.178	Mid-band-Drive
47020	906.588	Mid-band-Drive
47176	1050.449	Mid-band-Drive
47350	1093.175	Mid-band-Drive
47505	1169.908	Mid-band-Drive
47667	1115.932	Mid-band-Drive
47822	1209.72	Mid-band-Drive
47984	1148.634	Mid-band-Drive
48146	1079.014	Mid-band-Drive
48313	1041.389	Mid-band-Drive
48463	890.268	Mid-band-Drive
48631	724.112	Mid-band-Drive
48792	846.711	Mid-band-Drive
48954	981.714	Mid-band-Drive
49116	931.794	Mid-band-Drive
49276	952.602	Mid-band-Drive
49438	921.525	Mid-band-Drive
49593	1034.529	Mid-band-Drive
49761	947.373	Mid-band-Drive
49920	915.766	Mid-band-Drive
50072	811.017	Mid-band-Drive
50239	805.913	Mid-band-Drive
50401	670.453	Mid-band-Drive
50561	726.953	Mid-band-Drive
50730	700.304	Mid-band-Drive
50879	750.162	Mid-band-Drive
51041	726.626	Mid-band-Drive
51209	717.03	Mid-band-Drive
51367	769.064	Mid-band-Drive
51532	689.756	Mid-band-Drive
51694	657.238	Mid-band-Drive
51855	760.663	Mid-band-Drive
52017	809.941	Mid-band-Drive
52172	940.92	Mid-band-Drive
52340	881.653	Mid-band-Drive
52502	777.422	Mid-band-Drive
52663	929.361	Mid-band-Drive
52825	969.415	Mid-band-Drive
52986	892.836	Mid-band-Drive
53148	852.828	Mid-band-Drive
53310	857.15	Mid-band-Drive
53471	813.301	Mid-band-Drive
53630	866.546	Mid-band-Drive
53795	800.118	Mid-band-Drive
53956	647.146	Mid-band-Drive
54118	678.183	Mid-band-Drive
54279	708.69	Mid-band-Drive
54447	821.906	Mid-band-Drive
54596	895.587	Mid-band-Drive
54754	914.192	Mid-band-Drive
54921	989.308	Mid-band-Drive
55084	1029.334	Mid-band-Drive
55242	986.329	Mid-band-Drive
55407	1035.845	Mid-band-Drive
55564	925.418	Mid-band-Drive
55726	889.036	Mid-band-Drive
55888	853.722	Mid-band-Drive
56049	727.673	Mid-band-Drive
56211	759.042	Mid-band-Drive
56373	820.589	Mid-band-Drive
56534	811.136	Mid-band-Drive
56696	624.504	Mid-band-Drive
56851	643.279	Mid-band-Drive
57014	469.461	Mid-band-Drive
57174	491.059	Mid-band-Drive
57333	480.795	Mid-band-Drive
57495	594.079	Mid-band-Drive
57655	764.829	Mid-band-Drive
57815	712.856	Mid-band-Drive
57988	751.175	Mid-band-Drive
58132	710.806	Mid-band-Drive
58294	626.227	Mid-band-Drive
58455	887.355	Mid-band-Drive
58617	798.24	Mid-band-Drive
58779	461.325	Mid-band-Drive
58940	444.68	Mid-band-Drive
59101	739.677	Mid-band-Drive
59263	771.963	Mid-band-Drive
59424	752.585	Mid-band-Drive
59586	813.9	Mid-band-Drive
59748	808.76	Mid-band-Drive
59922	813.869	Mid-band-Drive
60071	731.823	Mid-band-Drive
60227	824.799	Mid-band-Drive
60394	772.309	Mid-band-Drive
60556	922.917	Mid-band-Drive
60717	907.561	Mid-band-Drive
60879	719.645	Mid-band-Drive
61038	908.721	Mid-band-Drive
61215	855.527	Mid-band-Drive
61364	860.649	Mid-band-Drive
61532	856.48	Mid-band-Drive
61686	796.564	Mid-band-Drive
61848	690.901	Mid-band-Drive
62010	754.381	Mid-band-Drive
62171	893.58	Mid-band-Drive
62333	591.957	Mid-band-Drive
62488	648.842	Mid-band-Drive
62656	654.156	Mid-band-Drive
62818	619.987	Mid-band-Drive
62979	741.911	Mid-band-Drive
63141	708.494	Mid-band-Drive
63300	747.595	Mid-band-Drive
63464	583.842	Mid-band-Drive
63626	576.023	Mid-band-Drive
63787	594.872	Mid-band-Drive
63955	683.569	Mid-band-Drive
64110	695.853	Mid-band-Drive
64269	657.994	Mid-band-Drive
64434	574.222	Mid-band-Drive
64595	491.788	Mid-band-Drive
64762	510.547	Mid-band-Drive
64920	531.215	Mid-band-Drive
65074	609.534	Mid-band-Drive
65233	510.35	Mid-band-Drive
65395	480.748	Mid-band-Drive
65553	538.825	Mid-band-Drive
65711	629.346	Mid-band-Drive
65875	629.97	Mid-band-Drive
66034	677.599	Mid-band-Drive
66202	625.307	Mid-band-Drive
66363	428.768	Mid-band-Drive
66524	502.206	Mid-band-Drive
66687	445.364	Mid-band-Drive
66845	526.079	Mid-band-Drive
67010	446.45	Mid-band-Drive
67178	389.826	Mid-band-Drive
67333	414.15	Mid-band-Drive
67483	371.251	Mid-band-Drive
67608	8.852	Mid-band-Drive
67676	401.141	Mid-band-Drive
67844	406.762	Mid-band-Drive
68005	612.398	Mid-band-Drive
68161	427.881	Mid-band-Drive
68316	466.527	Mid-band-Drive
68490	594.01	Mid-band-Drive
68646	575.307	Mid-band-Drive
68807	471.522	Mid-band-Drive
68969	361.993	Mid-band-Drive
69060	84.879	Mid-band-Drive
69155	494.791	Mid-band-Drive
69327	461.098	Mid-band-Drive
69481	389.053	Mid-band-Drive
69657	433.601	Mid-band-Drive
69805	469.391	Mid-band-Drive
69966	554.237	Mid-band-Drive
70122	514.278	Mid-band-Drive
70289	511.593	Mid-band-Drive
70447	554.679	Mid-band-Drive
70627	529.858	Mid-band-Drive
70768	447.998	Mid-band-Drive
70936	538.196	Mid-band-Drive
71092	542.543	Mid-band-Drive
71273	584.216	Mid-band-Drive
71435	622.699	Mid-band-Drive
71597	643.041	Mid-band-Drive
71744	617.904	Mid-band-Drive
71920	492.583	Mid-band-Drive
72061	546.333	Mid-band-Drive
72229	494.746	Mid-band-Drive
72405	599.916	Mid-band-Drive
72552	550.092	Mid-band-Drive
72710	597.773	Mid-band-Drive
72867	477.532	Mid-band-Drive
73021	447.318	Mid-band-Drive
73175	766.947	Mid-band-Drive
73329	758.763	Mid-band-Drive
73495	817.647	Mid-band-Drive
73655	765.565	Mid-band-Drive
73822	617.607	Mid-band-Drive
73962	579.64	Mid-band-Drive
74123	578.323	Mid-band-Drive
74299	545.66	Mid-band-Drive
74447	419.713	Mid-band-Drive
74578	425.379	Mid-band-Drive
74747	664.834	Mid-band-Drive
74902	599.071	Mid-band-Drive
75046	30.179	Mid-band-Drive
75128	574.376	Mid-band-Drive
75298	681.722	Mid-band-Drive
75448	591.602	Mid-band-Drive
75617	697.559	Mid-band-Drive
75778	706.718	Mid-band-Drive
75940	794.405	Mid-band-Drive
76102	918.683	Mid-band-Drive
76245	745.163	Mid-band-Drive
76403	809.896	Mid-band-Drive
76562	885.334	Mid-band-Drive
76705	938.895	Mid-band-Drive
76878	865.251	Mid-band-Drive
77031	653.084	Mid-band-Drive
77201	790.191	Mid-band-Drive
77363	794.544	Mid-band-Drive
77524	836.183	Mid-band-Drive
77679	876.257	Mid-band-Drive
77848	923.323	Mid-band-Drive
77996	769.845	Mid-band-Drive
78164	842.335	Mid-band-Drive
78324	730.985	Mid-band-Drive
78487	724.109	Mid-band-Drive
78656	783.669	Mid-band-Drive
78817	813.36	Mid-band-Drive
78966	741.364	Mid-band-Drive
79134	859.632	Mid-band-Drive
79294	803.626	Mid-band-Drive
79464	879.169	Mid-band-Drive
79617	790.048	Mid-band-Drive
79786	822.542	Mid-band-Drive
79948	822.06	Mid-band-Drive
