EventType	clientTime(ms)	buffer_level	cls	colors	bitrate_kbps
FRAGMENT_LOADING_STARTED	2024-01-25 08:35:56.339		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:35:56.549		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:35:56.557		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:35:56.825		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:35:56.835		blue	blue	
	2024-01-25 08:35:57.071	10.782		blue	0.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:35:57.193		purple	blue	
	2024-01-25 08:35:58.071	13.985		blue	0.0
	2024-01-25 08:35:59.071	12.923		blue	0.0
	2024-01-25 08:36:00.071	11.86		blue	0.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:00.213		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:00.219		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:00.221		blue	blue	
	2024-01-25 08:36:01.071	10.798		blue	1.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:01.399		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:01.439		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:01.449		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:01.450		blue	blue	
	2024-01-25 08:36:02.071	10.001		blue	2.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:02.728		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:02.760		blue	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:02.765		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:02.765		purple	blue	
	2024-01-25 08:36:03.071	8.751		blue	3.0
	2024-01-25 08:36:04.071	7.876		blue	3.0
	2024-01-25 08:36:05.071	6.813		blue	3.0
	2024-01-25 08:36:06.071	5.751		blue	3.0
