EventType	clientTime(ms)	buffer_level	cls	colors	bitrate_kbps
	2024-01-25 08:38:51.071	2.366		blue	6.0
	2024-01-25 08:38:52.071	5.136		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:52.638		blue	blue	
	2024-01-25 08:38:53.071	4.074		blue	6.0
	2024-01-25 08:38:54.071	3.011		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:54.527		purple	blue	
	2024-01-25 08:38:55.071	5.995		blue	6.0
	2024-01-25 08:38:56.071	5.058		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:56.671		blue	blue	
	2024-01-25 08:38:57.071	3.995		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:57.975		purple	blue	
	2024-01-25 08:38:58.071	6.893		blue	6.0
	2024-01-25 08:38:59.071	6.136		blue	6.0
	2024-01-25 08:39:00.071	5.074		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:39:00.555		blue	blue	
	2024-01-25 08:39:01.070	4.011		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:39:01.982		purple	blue	
	2024-01-25 08:39:02.071	6.878		blue	6.0
	2024-01-25 08:39:03.071	5.886		blue	6.0
	2024-01-25 08:39:04.071	5.089		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:39:04.569		blue	blue	
	2024-01-25 08:39:05.071	4.027		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:39:05.867		purple	blue	
	2024-01-25 08:39:06.071	6.964		blue	6.0
	2024-01-25 08:39:07.071	5.902		blue	6.0
	2024-01-25 08:39:08.071	5.058		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:39:08.458		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:39:09.104		purple	blue	
	2024-01-25 08:39:09.110	4.042		blue	6.0
	2024-01-25 08:39:10.071	6.98		blue	6.0
	2024-01-25 08:39:11.071	5.917		blue	6.0
	2024-01-25 08:39:12.071	5.12		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:39:12.647		blue	blue	
	2024-01-25 08:39:13.071	4.058		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:39:13.915		purple	blue	
	2024-01-25 08:39:14.071	6.949		blue	6.0
	2024-01-25 08:39:15.071	5.93		blue	6.0
	2024-01-25 08:39:16.071	5.136		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:39:16.488		blue	blue	
	2024-01-25 08:39:17.070	4.073		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:39:18.117		purple	blue	
	2024-01-25 08:39:18.127	3.011		blue	6.0
	2024-01-25 08:39:19.071	5.949		blue	6.0
	2024-01-25 08:39:20.071	4.886		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:39:20.689		blue	blue	
	2024-01-25 08:39:21.071	4.089		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:39:21.911		purple	blue	
	2024-01-25 08:39:22.071	6.957		blue	6.0
	2024-01-25 08:39:23.071	5.964		blue	6.0
	2024-01-25 08:39:24.071	4.902		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:39:24.990		blue	blue	
	2024-01-25 08:39:25.071	4.105		blue	6.0
	2024-01-25 08:39:26.071	3.042		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:39:26.189		purple	blue	
	2024-01-25 08:39:27.071	5.964		blue	6.0
	2024-01-25 08:39:28.071	4.902		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:39:28.766		blue	blue	
	2024-01-25 08:39:29.070	4.105		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:39:29.114		purple	blue	
	2024-01-25 08:39:30.071	3.842		blue	6.0
	2024-01-25 08:39:31.071	2.78		blue	6.0
	2024-01-25 08:39:32.071	1.717		blue	6.0
	2024-01-25 08:39:33.071	0.92		blue	6.0
