bitrate	stallTime	chkSize
0.611780455153949	0.225674698795181	1s
0.473333333333333	0.50725	1s
0.613788487282463	0.0818192771084337	1s
0.626666666666667	0.47502	1s
0.46	0.30287	1s
0.486666666666667	0.7051	1s
0.622	0.264876	1s
0.909638554216868	0.371979919678715	1s
0.498661311914324	0.238755020080321	1s
0	0.159818181818182	4s
0.565595716198126	0.806784	4s
0.693440428380187	0.326979919678715	4s
0.502008032128514	0.765324	4s
0.424731182795699	0.859373493975904	4s
0	0.232865979381443	4s
0.448333333333333	1.03758	4s
0.4	0.33848987854251	4s
0.15	0.376275510204082	4s
