MCS	layers
18.0	4.0
18.0	4.0
16.0	4.0
16.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
17.0	4.0
19.0	4.0
19.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
17.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
19.0	4.0
18.0	4.0
18.0	4.0
19.0	4.0
19.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
19.0	4.0
19.0	4.0
18.0	4.0
19.0	4.0
17.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
17.0	4.0
18.0	4.0
18.0	4.0
19.0	4.0
19.0	4.0
17.0	4.0
19.0	4.0
18.0	4.0
19.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
17.0	4.0
18.0	4.0
17.0	4.0
18.0	4.0
19.0	4.0
19.0	4.0
19.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
17.0	4.0
18.0	4.0
18.0	4.0
19.0	4.0
20.0	4.0
20.0	4.0
20.0	4.0
18.0	4.0
21.0	4.0
19.0	4.0
19.0	4.0
20.0	4.0
21.0	4.0
21.0	4.0
20.0	4.0
19.0	4.0
21.0	4.0
18.0	4.0
19.0	4.0
18.0	4.0
17.0	4.0
17.0	4.0
18.0	4.0
18.0	4.0
17.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
16.0	4.0
16.0	4.0
16.0	4.0
17.0	4.0
19.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
20.0	4.0
19.0	4.0
19.0	4.0
19.0	4.0
18.0	4.0
21.0	4.0
17.0	4.0
17.0	4.0
19.0	4.0
19.0	4.0
21.0	4.0
21.0	4.0
18.0	4.0
20.0	4.0
20.0	4.0
18.0	4.0
19.0	4.0
19.0	4.0
18.0	4.0
18.0	4.0
18.0	4.0
17.0	4.0
16.0	4.0
17.0	4.0
18.0	4.0
