bitrate	stallTime	chkSize
0.949129852744311	0.213453815261044	1s
0.956492637215529	0.221923694779116	1s
0.852074966532798	0.150935742971888	1s
0.98995983935743	0.917200803212852	1s
0.79	0.49049	1s
0.50669344042838	1.036316	4s
0.45	1.28843	4s
0.621686746987952	0.965384	4s
0.632530120481928	0.833328	4s
0.586345381526104	0.812076	4s
