Config	tput	cqi
100	3.362	7.17
100	5.73	7.33
100	5.116	7.17
100	1.594	5.14
100	2.743	5.67
100	3.659	6.5
100	5.24	6.0
100	4.061	8.33
100	6.79	8.5
100	6.167	9.5
100	3.094	7.0
100	4.475	9.83
100	7.257	8.29
100	5.449	6.0
100	43.819	8.5
100	46.889	8.0
100	43.595	9.33
100	43.33	8.57
100	50.712	9.14
100	64.675	9.5
100	13.626	9.5
100	12.665	8.86
100	23.716	9.83
100	15.47	9.17
100	22.363	9.43
100	13.414	8.83
100	11.454	7.0
100	8.929	6.43
100	4.75	7.0
100	6.058	6.5
100	6.863	9.86
100	28.547	9.67
100	26.306	9.5
100	23.043	9.71
100	38.78	9.83
100	37.987	9.33
100	33.081	9.67
100	19.988	9.33
100	48.743	9.67
100	38.816	9.86
100	29.537	9.0
100	41.636	9.33
100	22.502	9.17
100	34.216	9.83
100	17.422	9.0
100	54.416	9.67
100	43.525	9.67
100	36.171	7.67
100	27.835	8.83
100	53.515	9.83
100	54.979	9.83
100	34.966	9.5
100	35.468	8.0
100	28.407	9.0
100	23.303	9.29
100	16.739	9.33
100	9.327	6.0
100	4.416	5.17
100	3.222	5.71
100	4.983	4.83
100	4.73	4.2
100	11.515	9.0
100	8.435	8.67
100	5.516	6.67
100	2.284	6.0
100	7.489	7.0
100	6.691	6.67
100	1.556	7.17
100	10.713	8.67
100	22.792	9.0
100	17.418	9.0
100	12.664	9.57
100	14.185	9.17
100	17.962	9.86
100	14.732	9.43
100	19.784	9.5
100	41.19	9.17
100	32.847	9.5
100	18.157	9.83
100	13.313	6.67
100	27.954	9.33
100	51.94	9.17
100	48.689	9.67
100	45.201	9.33
100	37.596	8.83
100	37.915	8.83
100	54.254	9.67
100	34.435	9.17
100	41.957	9.0
100	48.725	9.71
100	55.401	9.17
100	44.296	9.67
100	29.285	8.6
100	29.227	9.71
100	32.917	9.83
100	24.301	9.71
100	10.988	9.86
100	7.832	9.17
100	2.637	8.14
100	3.116	9.6
100	4.532	8.83
100	2.75	8.29
100	2.571	9.33
100	4.11	8.5
100	2.854	8.0
100	5.757	9.83
100	2.866	8.2
100	23.814	8.33
100	23.701	7.86
100	30.923	7.83
100	26.49	8.5
100	37.283	9.0
100	45.488	9.71
100	25.19	9.83
100	26.652	9.5
100	41.17	9.8
100	15.622	9.0
100	13.184	9.57
100	13.617	8.71
100	11.873	9.67
100	9.807	7.43
100	21.592	8.0
100	40.679	9.67
100	47.291	8.83
100	44.184	9.33
100	17.354	9.83
100	7.844	8.8
100	6.485	7.67
100	6.772	5.6
100	1.828	6.75
100	38.442	8.86
100	24.558	8.33
100	9.855	6.4
100	18.075	7.14
100	19.76	8.17
100	22.292	9.33
100	20.747	8.83
100	20.94	9.14
100	23.072	7.17
100	6.036	7.67
100	26.411	8.14
100	14.088	5.75
100	2.739	6.0
100	2.876	8.0
100	31.539	9.5
100	39.432	9.5
100	21.953	8.33
100	28.164	8.5
100	31.658	9.6
100	9.505	8.33
100	11.399	8.0
100	5.9	7.5
100	16.573	9.5
100	17.456	9.0
100	20.346	9.0
100	21.187	8.67
100	17.039	9.0
100	24.288	8.33
100	22.949	8.67
100	9.921	7.71
100	3.188	8.4
100	3.629	5.71
