Config	tput	cqi
100	0.004	12.33
100	0.004	12.33
100	0.003	12.83
100	0.004	13.14
100	0.005	12.17
100	0.003	13.0
100	0.004	14.17
100	0.003	14.14
100	0.004	14.67
100	0.004	14.17
100	0.004	14.29
100	0.004	14.83
100	0.003	14.17
100	0.005	14.5
100	0.004	14.33
100	0.003	14.57
100	0.004	14.5
100	0.004	14.0
100	0.004	14.33
100	0.003	14.0
100	0.004	14.67
100	0.003	15.0
100	0.003	15.0
100	0.004	13.83
100	0.003	14.0
100	0.004	14.67
100	0.005	15.0
100	0.003	15.0
100	0.003	14.67
100	0.004	13.0
100	0.005	13.0
100	0.003	12.43
100	0.004	12.67
100	0.004	12.0
100	0.003	12.0
100	0.004	12.33
100	0.004	13.5
100	0.004	15.0
100	0.003	13.67
100	49.613	12.83
100	44.236	12.33
100	46.981	12.57
100	48.649	14.0
100	39.489	14.5
100	41.982	14.5
100	43.927	14.14
100	46.63	14.17
100	47.903	14.5
100	51.02	14.67
100	52.119	14.14
100	53.641	14.17
100	48.882	14.5
100	50.184	15.0
100	50.375	14.29
100	49.206	14.83
100	45.974	15.0
100	48.134	15.0
100	48.534	14.71
100	46.936	14.5
100	48.781	14.0
100	50.244	14.33
100	51.434	14.29
100	49.579	14.17
100	49.025	14.5
100	44.896	14.17
100	46.853	14.57
100	45.737	14.17
100	44.381	14.83
100	43.099	14.83
100	42.636	14.71
100	45.128	13.83
100	46.466	14.17
100	48.961	14.0
100	46.762	14.43
100	45.962	14.33
100	46.391	13.5
100	45.888	13.67
100	46.848	13.43
100	44.346	13.5
100	41.524	13.83
100	44.921	13.83
100	46.69	13.71
100	47.858	13.5
100	45.117	13.67
100	46.829	13.33
100	46.387	12.57
100	49.041	13.33
100	44.527	13.67
100	43.282	12.5
100	13.276	13.0
100	20.103	13.17
100	20.508	14.17
100	17.927	14.71
100	14.472	13.83
100	10.926	13.0
100	10.128	12.0
100	0.004	12.5
100	12.357	14.83
100	19.604	14.33
100	25.412	15.0
100	25.102	15.0
100	22.983	14.67
100	18.987	14.83
100	18.537	15.0
100	18.25	14.67
100	18.102	15.0
100	20.459	14.67
100	22.273	14.83
100	20.198	15.0
100	22.456	15.0
100	24.597	15.0
100	23.034	15.0
100	22.833	15.0
100	24.261	15.0
100	22.767	15.0
100	22.28	15.0
100	23.097	15.0
100	21.213	15.0
100	23.885	15.0
100	24.487	15.0
100	25.374	15.0
100	25.7	15.0
100	24.045	15.0
100	21.757	15.0
100	23.801	15.0
100	20.148	15.0
100	22.771	15.0
100	16.374	13.29
100	16.803	14.67
100	17.879	14.33
100	17.745	13.86
100	16.4	14.0
100	20.854	14.33
100	16.224	13.17
100	20.242	14.33
100	24.016	15.0
100	18.32	14.83
100	17.841	13.5
100	19.044	15.0
100	19.37	15.0
100	20.628	15.0
100	19.558	14.83
100	20.94	15.0
100	20.447	15.0
100	18.936	15.0
100	19.537	15.0
100	21.91	15.0
100	22.515	15.0
100	19.468	15.0
100	19.146	15.0
100	20.274	15.0
100	20.512	15.0
100	20.29	15.0
100	15.858	15.0
100	21.648	15.0
100	19.626	15.0
100	16.005	15.0
100	14.81	15.0
100	18.203	15.0
100	16.365	15.0
100	19.427	14.83
100	19.913	13.0
100	19.297	15.0
100	21.705	15.0
100	18.955	15.0
100	21.273	15.0
100	22.014	15.0
100	19.766	15.0
100	17.269	14.83
100	18.828	15.0
100	21.329	15.0
100	24.133	15.0
100	23.656	15.0
100	21.668	15.0
100	22.094	14.83
100	21.636	15.0
100	24.202	15.0
100	24.734	15.0
100	22.184	15.0
100	22.563	15.0
100	23.011	15.0
100	23.616	15.0
100	18.924	14.5
100	13.341	13.5
100	12.397	12.57
100	14.021	13.17
100	16.91	14.17
100	17.321	13.33
100	25.208	12.43
100	25.086	12.33
100	24.947	12.0
100	26.269	12.0
100	26.319	12.17
100	26.176	13.43
100	26.478	12.33
100	26.273	12.0
100	26.878	12.17
100	25.899	13.0
100	26.333	13.5
100	26.756	13.86
100	25.8	13.0
100	25.616	14.33
100	23.908	15.0
100	24.546	15.0
100	23.961	15.0
