Config	Tput(Mbps)
O_Sp_90Mhz	63.279
O_Sp_90Mhz	58.118
O_Sp_90Mhz	58.683
O_Sp_90Mhz	64.219
O_Sp_90Mhz	58.688
O_Sp_90Mhz	59.423
O_Sp_90Mhz	57.204
O_Sp_90Mhz	63.696
O_Sp_90Mhz	66.073
O_Sp_90Mhz	59.239
O_Sp_90Mhz	65.936
O_Sp_90Mhz	69.868
O_Sp_90Mhz	66.872
O_Sp_90Mhz	68.373
O_Sp_90Mhz	70.683
O_Sp_90Mhz	67.015
O_Sp_90Mhz	74.841
O_Sp_90Mhz	76.695
O_Sp_90Mhz	69.501
O_Sp_90Mhz	68.715
O_Sp_90Mhz	71.402
O_Sp_90Mhz	74.151
O_Sp_90Mhz	76.751
O_Sp_90Mhz	73.782
O_Sp_90Mhz	74.071
O_Sp_90Mhz	69.969
O_Sp_90Mhz	72.82
O_Sp_90Mhz	67.338
O_Sp_90Mhz	61.485
O_Sp_90Mhz	57.807
O_Sp_90Mhz	53.527
O_Sp_90Mhz	54.529
O_Sp_90Mhz	55.95
O_Sp_90Mhz	55.038
O_Sp_90Mhz	55.128
O_Sp_90Mhz	53.898
O_Sp_90Mhz	52.669
O_Sp_90Mhz	49.734
O_Sp_90Mhz	58.794
O_Sp_90Mhz	61.802
O_Sp_90Mhz	67.046
O_Sp_90Mhz	69.987
O_Sp_90Mhz	66.907
O_Sp_90Mhz	71.004
O_Sp_90Mhz	70.554
O_Sp_90Mhz	64.084
O_Sp_90Mhz	74.893
O_Sp_90Mhz	76.71
O_Sp_90Mhz	74.357
O_Sp_90Mhz	76.599
O_Sp_90Mhz	75.675
O_Sp_90Mhz	73.566
O_Sp_90Mhz	73.08
O_Sp_90Mhz	73.859
O_Sp_90Mhz	124.391
O_Sp_90Mhz	71.569
O_Sp_90Mhz	66.372
O_Sp_90Mhz	75.618
O_Sp_90Mhz	72.102
O_Sp_90Mhz	64.491
O_Sp_90Mhz	59.376
O_Sp_90Mhz	57.79
