TP (Gbps)	Config
0.709326	US_Att
0.599503	US_Att
0.7180359999999999	US_Att
0.788334	US_Att
0.714447	US_Att
0.768907	US_Att
0.777577	US_Att
0.748691	US_Att
0.7380599999999999	US_Att
0.6432709999999999	US_Att
0.737193	US_Att
0.663983	US_Att
0.7462989999999999	US_Att
0.776452	US_Att
0.75491	US_Att
0.702659	US_Att
0.779202	US_Att
0.851957	US_Att
0.820037	US_Att
0.750352	US_Att
0.677526	US_Att
0.840351	US_Att
0.797434	US_Att
0.837145	US_Att
0.772203	US_Att
0.865232	US_Att
0.780249	US_Att
0.857615	US_Att
0.689035	US_Att
0.732373	US_Att
0.7278640000000001	US_Att
0.717034	US_Att
0.704995	US_Att
0.814499	US_Att
0.8431230000000001	US_Att
0.859957	US_Att
0.829345	US_Att
0.940822	US_Att
0.824032	US_Att
0.8487060000000001	US_Att
0.696532	US_Att
0.9808579999999999	US_Att
0.729074	US_Att
0.806648	US_Att
0.648125	US_Att
0.773134	US_Att
0.772827	US_Att
0.759199	US_Att
0.8352970000000001	US_Att
0.851039	US_Att
0.7539539999999999	US_Att
0.7362839999999999	US_Att
0.877786	US_Att
0.67977	US_Att
0.804884	US_Att
0.781821	US_Att
0.745797	US_Att
0.885126	US_Att
0.860356	US_Att
0.7663369999999999	US_Att
0.6945359999999999	US_Att
0.7494160000000001	US_Att
0.7923020000000001	US_Att
0.7602530000000001	US_Att
0.7133849999999999	US_Att
0.83889	US_Att
0.7086950000000001	US_Att
0.807024	US_Att
0.7061280000000001	US_Att
0.757072	US_Att
0.838269	US_Att
0.6891390000000001	US_Att
0.7781760000000001	US_Att
0.7878200000000001	US_Att
0.742441	US_Att
0.7233189999999999	US_Att
0.7038070000000001	US_Att
0.660328	US_Att
0.7399840000000001	US_Att
0.800744	US_Att
0.786628	US_Att
0.694172	US_Att
0.6946599999999999	US_Att
0.761346	US_Att
0.796971	US_Att
0.76763	US_Att
0.792065	US_Att
0.7708619999999999	US_Att
0.9049170000000001	US_Att
0.801009	US_Att
0.822448	US_Att
0.780748	US_Att
0.796507	US_Att
0.862621	US_Att
0.714511	US_Att
0.8768619999999999	US_Att
0.687207	US_Att
0.793822	US_Att
0.7948189999999999	US_Att
0.778043	US_Att
1.04325	US_Att
0.9012340000000001	US_Att
0.7968780000000001	US_Att
0.9331119999999999	US_Att
0.888019	US_Att
0.781308	US_Att
0.6898390000000001	US_Att
0.780259	US_Att
0.808844	US_Att
0.808907	US_Att
0.745586	US_Att
0.8522540000000001	US_Att
0.846442	US_Att
0.8157490000000001	US_Att
0.753198	US_Att
0.750385	US_Att
0.7487619999999999	US_Att
0.7582279999999999	US_Att
0.738495	US_Att
0.865649	US_Att
0.8395929999999999	US_Att
0.834814	US_Att
0.8834420000000001	US_Att
0.756534	US_Att
0.915534	US_Att
0.8642569999999999	US_Att
0.857385	US_Att
0.839773	US_Att
0.8403250000000001	US_Att
0.81488	US_Att
0.86617	US_Att
0.833119	US_Att
0.874125	US_Att
0.866383	US_Att
0.7630159999999999	US_Att
0.874113	US_Att
0.766258	US_Att
0.770568	US_Att
0.8354779999999999	US_Att
0.785856	US_Att
0.822551	US_Att
0.8210890000000001	US_Att
0.794394	US_Att
0.838974	US_Att
0.8094790000000001	US_Att
0.648891	US_Att
0.8107709999999999	US_Att
0.7881910000000001	US_Att
0.704909	US_Att
0.836798	US_Att
0.882258	US_Att
0.814608	US_Att
0.809132	US_Att
0.7811480000000001	US_Att
0.892145	US_Att
0.806271	US_Att
0.72933	US_Att
0.797588	US_Att
0.853911	US_Att
0.731683	US_Att
0.790496	US_Att
0.899026	US_Att
0.7756369999999999	US_Att
0.928356	US_Att
0.15445599999999998	US_Att
0.0013640000000000002	US_Att
