T_Phy(in ms)	Operators
5.3332	O_Fr
5.3332	O_Fr
5.3332	O_Fr
1.7998199999999998	O_Fr
5.3332	O_Fr
5.7998199999999995	O_Fr
5.3332	O_Fr
1.3331999999999997	O_Fr
5.3332	O_Fr
1.3331999999999997	O_Fr
1.3331999999999997	O_Fr
5.3332	O_Fr
5.3332	O_Fr
5.3332	O_Fr
1.7998199999999998	O_Fr
5.3332	O_Fr
5.7998199999999995	O_Fr
5.3332	O_Fr
1.3331999999999997	O_Fr
5.3332	O_Fr
1.3331999999999997	O_Fr
1.3331999999999997	O_Fr
8.43259	V_It
7.26594	V_It
8.665849999999997	V_It
9.16575	V_It
7.299369999999998	V_It
4.399559999999999	V_It
9.43249	V_It
9.865779999999999	V_It
5.39946	V_It
2.4664199999999994	V_It
1.16665	V_It
1.1998799999999998	V_It
8.29922	V_It
4.26629	V_It
2.46652	V_It
1.9664699999999995	V_It
5.732810000000001	V_It
0.7332599999999998	V_It
4.6662	V_It
2.79982	V_It
1.6664999999999996	V_It
1.4666199999999996	V_It
3.03308	V_It
4.59954	V_It
0.16674999999999998	V_It
0.26664	V_It
2.76644	V_It
5.89946	V_It
7.466019999999999	V_It
5.1329199999999995	V_It
2.26644	V_It
0.26664	V_It
0.26674	V_It
2.79982	V_It
2.06646	V_It
2.56646	V_It
8.43259	V_It
7.26594	V_It
8.665849999999997	V_It
9.16575	V_It
7.299369999999998	V_It
4.399559999999999	V_It
9.43249	V_It
9.865779999999999	V_It
5.39946	V_It
2.4664199999999994	V_It
1.16665	V_It
1.1998799999999998	V_It
8.29922	V_It
4.26629	V_It
2.46652	V_It
1.9664699999999995	V_It
5.732810000000001	V_It
0.7332599999999998	V_It
4.6662	V_It
2.79982	V_It
1.6664999999999996	V_It
1.4666199999999996	V_It
3.03308	V_It
4.59954	V_It
0.16674999999999998	V_It
0.26664	V_It
2.76644	V_It
5.89946	V_It
7.466019999999999	V_It
5.1329199999999995	V_It
2.26644	V_It
0.26664	V_It
0.26674	V_It
2.79982	V_It
2.06646	V_It
2.56646	V_It
4.26624	V_Ge
5.299469999999999	V_Ge
7.065959999999999	V_Ge
6.332699999999999	V_Ge
8.265839999999997	V_Ge
8.365829999999999	V_Ge
5.89941	V_Ge
2.4997499999999993	V_Ge
2.1997799999999996	V_Ge
6.332699999999999	V_Ge
7.365929999999999	V_Ge
3.39966	V_Ge
7.665899999999999	V_Ge
3.5329800000000002	V_Ge
3.23301	V_Ge
3.39966	V_Ge
0.73326	V_Ge
2.1997799999999996	V_Ge
2.7997199999999998	V_Ge
2.7997199999999998	V_Ge
0.73326	V_Ge
4.26624	V_Ge
3.9996	V_Ge
1.3331999999999997	V_Ge
2.0664599999999993	V_Ge
1.46652	V_Ge
1.46652	V_Ge
1.3331999999999997	V_Ge
1.0332299999999996	V_Ge
1.4665199999999996	V_Ge
2.0664599999999993	V_Ge
2.7997199999999998	V_Ge
2.0664599999999993	V_Ge
0.4332899999999999	V_Ge
1.3331999999999997	V_Ge
2.6663999999999994	V_Ge
0.73326	V_Ge
1.3331999999999997	V_Ge
1.3331999999999997	V_Ge
0.73326	V_Ge
2.0664599999999993	V_Ge
0.73326	V_Ge
1.3331999999999997	V_Ge
0.73326	V_Ge
0.73326	V_Ge
0.73326	V_Ge
4.26624	V_Ge
5.299469999999999	V_Ge
7.065959999999999	V_Ge
6.332699999999999	V_Ge
8.265839999999997	V_Ge
8.365829999999999	V_Ge
5.89941	V_Ge
2.4997499999999993	V_Ge
2.1997799999999996	V_Ge
6.332699999999999	V_Ge
7.365929999999999	V_Ge
3.39966	V_Ge
7.665899999999999	V_Ge
3.5329800000000002	V_Ge
3.23301	V_Ge
3.39966	V_Ge
0.73326	V_Ge
2.1997799999999996	V_Ge
2.7997199999999998	V_Ge
2.7997199999999998	V_Ge
0.73326	V_Ge
4.26624	V_Ge
3.9996	V_Ge
1.3331999999999997	V_Ge
2.0664599999999993	V_Ge
1.46652	V_Ge
1.46652	V_Ge
1.3331999999999997	V_Ge
1.0332299999999996	V_Ge
1.4665199999999996	V_Ge
2.0664599999999993	V_Ge
2.7997199999999998	V_Ge
2.0664599999999993	V_Ge
0.4332899999999999	V_Ge
1.3331999999999997	V_Ge
2.6663999999999994	V_Ge
0.73326	V_Ge
1.3331999999999997	V_Ge
1.3331999999999997	V_Ge
0.73326	V_Ge
2.0664599999999993	V_Ge
0.73326	V_Ge
1.3331999999999997	V_Ge
0.73326	V_Ge
0.73326	V_Ge
0.73326	V_Ge
3.63297	T_Ge
3.6662999999999997	T_Ge
1.3331999999999997	T_Ge
8.3325	T_Ge
1.2998699999999999	T_Ge
0.4666199999999999	T_Ge
8.3325	T_Ge
1.3331999999999997	T_Ge
3.63297	T_Ge
3.6662999999999997	T_Ge
1.3331999999999997	T_Ge
8.3325	T_Ge
1.2998699999999999	T_Ge
0.4666199999999999	T_Ge
8.3325	T_Ge
1.3331999999999997	T_Ge
