Tput(Mbps)	Config
734.835	O_Sp_100Mhz
771.171	O_Sp_100Mhz
771.952	O_Sp_100Mhz
777.482	O_Sp_100Mhz
879.76	O_Sp_100Mhz
840.746	O_Sp_100Mhz
849.628	O_Sp_100Mhz
812.793	O_Sp_100Mhz
928.647	O_Sp_100Mhz
870.859	O_Sp_100Mhz
786.301	O_Sp_100Mhz
658.872	O_Sp_100Mhz
868.371	O_Sp_100Mhz
751.75	O_Sp_100Mhz
828.682	O_Sp_100Mhz
703.904	O_Sp_100Mhz
713.502	O_Sp_100Mhz
822.071	O_Sp_100Mhz
821.678	O_Sp_100Mhz
827.519	O_Sp_100Mhz
741.515	O_Sp_100Mhz
772.409	O_Sp_100Mhz
660.24	O_Sp_100Mhz
776.891	O_Sp_100Mhz
714.95	O_Sp_100Mhz
677.617	O_Sp_100Mhz
660.56	O_Sp_100Mhz
760.499	O_Sp_100Mhz
711.316	O_Sp_100Mhz
636.192	O_Sp_100Mhz
886.673	O_Sp_100Mhz
738.478	O_Sp_100Mhz
786.363	O_Sp_100Mhz
637.307	O_Sp_100Mhz
798.131	O_Sp_100Mhz
828.448	O_Sp_100Mhz
782.062	O_Sp_100Mhz
833.217	O_Sp_100Mhz
817.187	O_Sp_100Mhz
688.101	O_Sp_100Mhz
829.106	O_Sp_100Mhz
742.395	O_Sp_100Mhz
679.257	O_Sp_100Mhz
696.907	O_Sp_100Mhz
704.823	O_Sp_100Mhz
708.259	O_Sp_100Mhz
738.424	O_Sp_100Mhz
673.412	O_Sp_100Mhz
646.286	O_Sp_100Mhz
693.992	O_Sp_100Mhz
724.241	O_Sp_100Mhz
649.017	O_Sp_100Mhz
630.606	O_Sp_100Mhz
637.118	O_Sp_100Mhz
662.994	O_Sp_100Mhz
716.281	O_Sp_100Mhz
819.614	O_Sp_100Mhz
691.915	O_Sp_100Mhz
824.378	O_Sp_100Mhz
779.15	O_Sp_100Mhz
709.956	O_Sp_100Mhz
723.788	O_Sp_100Mhz
700.536	O_Sp_100Mhz
749.206	O_Sp_100Mhz
774.121	O_Sp_100Mhz
684.432	O_Sp_100Mhz
719.606	O_Sp_100Mhz
690.506	O_Sp_100Mhz
760.574	O_Sp_100Mhz
662.41	O_Sp_100Mhz
637.262	O_Sp_100Mhz
756.236	O_Sp_100Mhz
644.813	O_Sp_100Mhz
662.058	O_Sp_100Mhz
630.971	O_Sp_100Mhz
641.687	O_Sp_100Mhz
635.525	O_Sp_100Mhz
644.677	O_Sp_100Mhz
665.646	O_Sp_100Mhz
632.953	O_Sp_100Mhz
708.726	O_Sp_100Mhz
728.256	O_Sp_100Mhz
786.695	O_Sp_100Mhz
693.794	O_Sp_100Mhz
676.0	O_Sp_100Mhz
751.727	O_Sp_100Mhz
804.474	O_Sp_100Mhz
713.433	O_Sp_100Mhz
680.275	O_Sp_100Mhz
759.038	O_Sp_100Mhz
707.682	O_Sp_100Mhz
702.937	O_Sp_100Mhz
735.533	O_Sp_100Mhz
674.844	O_Sp_100Mhz
671.643	O_Sp_100Mhz
641.602	O_Sp_100Mhz
722.946	O_Sp_100Mhz
631.484	O_Sp_100Mhz
647.992	O_Sp_100Mhz
666.976	O_Sp_100Mhz
630.913	O_Sp_100Mhz
632.514	O_Sp_100Mhz
637.227	O_Sp_100Mhz
688.687	O_Sp_100Mhz
649.397	O_Sp_100Mhz
656.422	O_Sp_100Mhz
645.929	O_Sp_100Mhz
650.473	O_Sp_100Mhz
649.668	O_Sp_100Mhz
636.774	O_Sp_100Mhz
662.64	O_Sp_100Mhz
712.961	O_Sp_100Mhz
672.92	O_Sp_100Mhz
680.292	O_Sp_100Mhz
630.5	O_Sp_100Mhz
633.622	O_Sp_100Mhz
682.606	O_Sp_100Mhz
725.671	O_Sp_100Mhz
677.716	O_Sp_100Mhz
765.209	O_Sp_100Mhz
773.828	O_Sp_100Mhz
742.142	O_Sp_100Mhz
656.591	O_Sp_100Mhz
636.746	O_Sp_100Mhz
629.811	O_Sp_100Mhz
654.506	O_Sp_100Mhz
632.068	O_Sp_100Mhz
633.637	O_Sp_100Mhz
671.868	O_Sp_100Mhz
726.994	O_Sp_100Mhz
739.005	O_Sp_100Mhz
707.101	O_Sp_100Mhz
738.621	O_Sp_100Mhz
770.536	O_Sp_100Mhz
817.246	O_Sp_100Mhz
675.43	O_Sp_100Mhz
640.658	O_Sp_100Mhz
652.585	O_Sp_100Mhz
633.563	O_Sp_100Mhz
692.886	O_Sp_100Mhz
710.569	O_Sp_100Mhz
672.198	O_Sp_100Mhz
669.877	O_Sp_100Mhz
633.195	O_Sp_100Mhz
636.477	O_Sp_100Mhz
634.089	O_Sp_100Mhz
631.259	O_Sp_100Mhz
662.066	O_Sp_100Mhz
667.007	O_Sp_100Mhz
659.26	O_Sp_100Mhz
663.793	O_Sp_100Mhz
666.974	O_Sp_100Mhz
672.201	O_Sp_100Mhz
748.941	O_Sp_100Mhz
702.955	O_Sp_100Mhz
678.077	O_Sp_100Mhz
674.125	O_Sp_100Mhz
655.932	O_Sp_100Mhz
695.852	O_Sp_100Mhz
802.03	O_Sp_100Mhz
803.864	O_Sp_100Mhz
852.055	O_Sp_100Mhz
703.615	O_Sp_100Mhz
886.217	O_Sp_100Mhz
719.596	O_Sp_100Mhz
776.939	O_Sp_100Mhz
806.926	O_Sp_100Mhz
811.09	O_Sp_100Mhz
853.656	O_Sp_100Mhz
773.01	O_Sp_100Mhz
855.448	O_Sp_100Mhz
774.609	O_Sp_100Mhz
718.246	O_Sp_100Mhz
715.801	O_Sp_100Mhz
778.434	O_Sp_100Mhz
660.32	O_Sp_100Mhz
666.984	O_Sp_100Mhz
752.017	O_Sp_100Mhz
630.145	O_Sp_100Mhz
660.392	O_Sp_100Mhz
642.218	O_Sp_100Mhz
759.549	O_Sp_100Mhz
689.282	O_Sp_100Mhz
644.428	O_Sp_100Mhz
728.335	O_Sp_100Mhz
676.822	O_Sp_100Mhz
805.967	O_Sp_100Mhz
722.443	O_Sp_100Mhz
677.122	O_Sp_100Mhz
688.383	O_Sp_100Mhz
799.702	O_Sp_100Mhz
790.485	O_Sp_100Mhz
857.629	O_Sp_100Mhz
761.842	O_Sp_100Mhz
921.835	O_Sp_100Mhz
793.321	O_Sp_100Mhz
873.037	O_Sp_100Mhz
786.033	O_Sp_100Mhz
826.129	O_Sp_100Mhz
850.461	O_Sp_100Mhz
744.406	O_Sp_100Mhz
753.739	O_Sp_100Mhz
738.707	O_Sp_100Mhz
632.179	O_Sp_100Mhz
724.256	O_Sp_100Mhz
692.524	O_Sp_100Mhz
775.621	O_Sp_100Mhz
793.895	O_Sp_100Mhz
782.907	O_Sp_100Mhz
659.512	O_Sp_100Mhz
686.023	O_Sp_100Mhz
745.613	O_Sp_100Mhz
701.781	O_Sp_100Mhz
723.553	O_Sp_100Mhz
723.989	O_Sp_100Mhz
799.4	O_Sp_100Mhz
776.828	O_Sp_100Mhz
642.48	O_Sp_100Mhz
844.936	O_Sp_100Mhz
755.988	O_Sp_100Mhz
808.254	O_Sp_100Mhz
788.196	O_Sp_100Mhz
811.661	O_Sp_100Mhz
730.474	O_Sp_100Mhz
691.705	O_Sp_100Mhz
803.985	O_Sp_100Mhz
672.626	O_Sp_100Mhz
778.685	O_Sp_100Mhz
724.619	O_Sp_100Mhz
745.173	O_Sp_100Mhz
688.4	O_Sp_100Mhz
755.453	O_Sp_100Mhz
636.152	O_Sp_100Mhz
725.71	O_Sp_100Mhz
679.331	O_Sp_100Mhz
706.11	O_Sp_100Mhz
715.464	O_Sp_100Mhz
698.152	O_Sp_100Mhz
759.731	O_Sp_100Mhz
698.175	O_Sp_100Mhz
757.765	O_Sp_100Mhz
726.984	O_Sp_100Mhz
740.912	O_Sp_100Mhz
660.931	O_Sp_100Mhz
633.423	O_Sp_100Mhz
705.381	O_Sp_100Mhz
1013.543	O_Sp_100Mhz
720.241	O_Sp_100Mhz
713.361	O_Sp_100Mhz
749.814	O_Sp_100Mhz
840.907	O_Sp_100Mhz
835.784	O_Sp_100Mhz
793.62	O_Sp_100Mhz
723.194	O_Sp_100Mhz
728.074	O_Sp_100Mhz
717.01	O_Sp_100Mhz
741.442	O_Sp_100Mhz
727.236	O_Sp_100Mhz
671.781	O_Sp_100Mhz
676.487	O_Sp_100Mhz
651.717	O_Sp_100Mhz
639.606	O_Sp_100Mhz
706.707	O_Sp_100Mhz
632.463	O_Sp_100Mhz
666.835	O_Sp_100Mhz
641.548	O_Sp_100Mhz
699.39	O_Sp_100Mhz
703.107	O_Sp_100Mhz
665.191	O_Sp_100Mhz
638.331	O_Sp_100Mhz
675.587	O_Sp_100Mhz
632.15	O_Sp_100Mhz
704.408	O_Sp_100Mhz
757.212	O_Sp_100Mhz
693.567	O_Sp_100Mhz
762.528	O_Sp_100Mhz
673.239	O_Sp_100Mhz
638.802	O_Sp_100Mhz
696.614	O_Sp_100Mhz
657.73	O_Sp_100Mhz
670.506	O_Sp_100Mhz
692.494	O_Sp_100Mhz
703.478	O_Sp_100Mhz
654.783	O_Sp_100Mhz
688.55	O_Sp_100Mhz
712.748	O_Sp_100Mhz
647.384	O_Sp_100Mhz
637.038	O_Sp_100Mhz
708.474	O_Sp_100Mhz
702.536	O_Sp_100Mhz
654.855	O_Sp_100Mhz
656.375	O_Sp_100Mhz
636.424	O_Sp_100Mhz
655.723	O_Sp_100Mhz
699.285	O_Sp_100Mhz
762.859	O_Sp_100Mhz
643.616	O_Sp_100Mhz
629.99	O_Sp_100Mhz
656.715	O_Sp_100Mhz
691.977	O_Sp_100Mhz
655.529	O_Sp_100Mhz
634.657	O_Sp_100Mhz
643.813	O_Sp_100Mhz
634.517	O_Sp_100Mhz
648.9	O_Sp_100Mhz
640.307	O_Sp_100Mhz
645.148	O_Sp_100Mhz
728.599	O_Sp_100Mhz
823.219	O_Sp_100Mhz
743.14	O_Sp_100Mhz
670.553	O_Sp_100Mhz
747.695	O_Sp_100Mhz
657.896	O_Sp_100Mhz
735.655	O_Sp_100Mhz
696.715	O_Sp_100Mhz
750.614	O_Sp_100Mhz
712.032	O_Sp_100Mhz
736.099	O_Sp_100Mhz
805.036	O_Sp_100Mhz
805.684	O_Sp_100Mhz
762.239	O_Sp_100Mhz
680.495	O_Sp_100Mhz
739.772	O_Sp_100Mhz
820.421	O_Sp_100Mhz
784.504	O_Sp_100Mhz
789.849	O_Sp_100Mhz
760.668	O_Sp_100Mhz
765.513	O_Sp_100Mhz
744.735	O_Sp_100Mhz
842.046	O_Sp_100Mhz
808.68	O_Sp_100Mhz
781.534	O_Sp_100Mhz
781.086	O_Sp_100Mhz
997.145	O_Sp_100Mhz
810.864	O_Sp_100Mhz
681.507	O_Sp_100Mhz
838.56	O_Sp_100Mhz
721.037	O_Sp_100Mhz
831.786	O_Sp_100Mhz
806.844	O_Sp_100Mhz
718.617	O_Sp_100Mhz
767.026	O_Sp_100Mhz
720.919	O_Sp_100Mhz
677.401	O_Sp_100Mhz
753.801	O_Sp_100Mhz
726.501	O_Sp_100Mhz
681.636	O_Sp_100Mhz
756.805	O_Sp_100Mhz
707.472	O_Sp_100Mhz
716.241	O_Sp_100Mhz
809.433	O_Sp_100Mhz
705.398	O_Sp_100Mhz
650.13	O_Sp_100Mhz
756.197	O_Sp_100Mhz
696.313	O_Sp_100Mhz
791.303	O_Sp_100Mhz
767.007	O_Sp_100Mhz
796.206	O_Sp_100Mhz
704.686	O_Sp_100Mhz
756.593	O_Sp_100Mhz
757.956	O_Sp_100Mhz
749.273	O_Sp_100Mhz
793.454	O_Sp_100Mhz
770.778	O_Sp_100Mhz
825.297	O_Sp_100Mhz
710.705	O_Sp_100Mhz
