time(ms)	MIMO_layers	MCS	config
70	0.04001299216010486	1.6152795544595284	Mid-band-Drive
80	0.04446289336443293	1.544135666744778	Mid-band-Drive
90	0.046932886162327096	1.4816497583185113	Mid-band-Drive
100	0.04988084862759765	1.4522358731024356	Mid-band-Drive
110	0.053602915571208914	1.406410804979475	Mid-band-Drive
120	0.05645799879313935	1.3866742608974905	Mid-band-Drive
130	0.05988674542463417	1.369470362381287	Mid-band-Drive
140	0.06233548052948952	1.3485281840760672	Mid-band-Drive
150	0.06517962326249147	1.3299799001889587	Mid-band-Drive
160	0.06859990811021852	1.3321852407692631	Mid-band-Drive
170	0.07165340266366788	1.3180056512118203	Mid-band-Drive
180	0.07377134323924966	1.3257645822168012	Mid-band-Drive
190	0.07602235839765244	1.310687493908016	Mid-band-Drive
200	0.0780519171663894	1.3198258582287101	Mid-band-Drive
210	0.08130802639819025	1.2912076518284232	Mid-band-Drive
220	0.08493017083349434	1.3022922091309805	Mid-band-Drive
