time(ms)	MIMO_layers	MCS	config
510	0.08032420621143392	2.620581894830111	mmWave-Drive
520	0.08090801339361799	2.5981682216524056	mmWave-Drive
530	0.08174049391288132	2.6480191014702	mmWave-Drive
540	0.08071666120949497	2.642301445946162	mmWave-Drive
550	0.08426027290788653	2.55015900432516	mmWave-Drive
560	0.08408123154512948	2.6439608797415675	mmWave-Drive
570	0.08795144328334817	2.630902816514015	mmWave-Drive
580	0.08636160001851058	2.6011277181434744	mmWave-Drive
590	0.08585460140372929	2.619017484015025	mmWave-Drive
600	0.08719775273403842	2.6887044064863383	mmWave-Drive
610	0.0875563446845141	2.626603425868921	mmWave-Drive
620	0.09104013585810895	2.6527987358052236	mmWave-Drive
630	0.08684516180497838	2.651585597321388	mmWave-Drive
640	0.09167945111568855	2.6231700417935278	mmWave-Drive
650	0.09026103006885458	2.612326130946753	mmWave-Drive
660	0.09066878029387211	2.58131446142312	mmWave-Drive
670	0.09383820231552649	2.639874501990761	mmWave-Drive
680	0.09420767560884305	2.6389749975935617	mmWave-Drive
690	0.09289804457884995	2.615769176191818	mmWave-Drive
700	0.09249163136130474	2.6010678966498113	mmWave-Drive
710	0.09743448041723923	2.6254406945546283	mmWave-Drive
720	0.09564062134510207	2.6421723332265614	mmWave-Drive
730	0.09571187315130951	2.6459263202986842	mmWave-Drive
740	0.0982827500686185	2.639944991023957	mmWave-Drive
750	0.0966067029793715	2.667433574192288	mmWave-Drive
760	0.09721213792044497	2.6412594577127853	mmWave-Drive
770	0.09990351428191735	2.6249078352099264	mmWave-Drive
780	0.09935454949929651	2.6709623299116503	mmWave-Drive
790	0.09846538914257373	2.608610099456113	mmWave-Drive
800	0.09947704007891917	2.609719624275631	mmWave-Drive
810	0.09720394738569016	2.604554115281114	mmWave-Drive
820	0.10066480643822828	2.5744303696099005	mmWave-Drive
830	0.09821776004535766	2.644469183204752	mmWave-Drive
840	0.1034530405945365	2.5301423553674605	mmWave-Drive
850	0.0993597420772437	2.6422353859215457	mmWave-Drive
860	0.10192240182083112	2.6157906711612045	mmWave-Drive
870	0.10217095192829101	2.5987454253837883	mmWave-Drive
880	0.10513721866896245	2.589611455797573	mmWave-Drive
890	0.10134858714936971	2.650996404981357	mmWave-Drive
900	0.10413345244983825	2.670307465130724	mmWave-Drive
910	0.10724707259558992	2.607528842544596	mmWave-Drive
920	0.10808295861450207	2.620924162040602	mmWave-Drive
930	0.10475142731281685	2.6484971031955324	mmWave-Drive
940	0.10478274739275717	2.6227609515257764	mmWave-Drive
950	0.10444511641498136	2.628195298402211	mmWave-Drive
960	0.1083508739046936	2.6611561414791605	mmWave-Drive
970	0.10848484739295883	2.575706810286925	mmWave-Drive
980	0.10766919767511575	2.628601023868181	mmWave-Drive
990	0.10637701630839225	2.5726734461493037	mmWave-Drive
1000	0.10846488032528777	2.534369125623271	mmWave-Drive
1010	0.10791221504167933	2.6382292316565303	mmWave-Drive
1020	0.10585493084376651	2.6529579763071984	mmWave-Drive
1030	0.1100327092892154	2.615887038264574	mmWave-Drive
1040	0.10659937222986975	2.590902890323282	mmWave-Drive
1050	0.1092286422933569	2.5393070601221415	mmWave-Drive
1060	0.11022783191757791	2.601193594500131	mmWave-Drive
1070	0.1079326388189129	2.638802633731146	mmWave-Drive
1080	0.10857899807028659	2.576159703440002	mmWave-Drive
1090	0.11450555535530217	2.63743372128008	mmWave-Drive
1100	0.11177795435979783	2.614686425606361	mmWave-Drive
1110	0.11013417756603906	2.5810969004034314	mmWave-Drive
1120	0.10799980295605231	2.646974431702491	mmWave-Drive
1130	0.10925753520371553	2.6333879129649387	mmWave-Drive
1140	0.11170511728495613	2.578560924976037	mmWave-Drive
1150	0.11181287633640723	2.6347550341833754	mmWave-Drive
1160	0.11047337677088413	2.5898033701744207	mmWave-Drive
1170	0.11351315711216389	2.6514628331912986	mmWave-Drive
1180	0.11258486939693056	2.6780276001703145	mmWave-Drive
1190	0.10861984727967074	2.4992510381118285	mmWave-Drive
1200	0.11328620353710483	2.6061181205815402	mmWave-Drive
1210	0.1138321654607422	2.5218928361940836	mmWave-Drive
1220	0.11292465609205497	2.569360510102027	mmWave-Drive
1230	0.11346383768158845	2.5682060434529874	mmWave-Drive
1240	0.11278215097390469	2.687648417270387	mmWave-Drive
1250	0.11763839721605676	2.599274083286471	mmWave-Drive
1260	0.11356523548721884	2.5806888417382323	mmWave-Drive
1270	0.11320485272323069	2.6392938098087533	mmWave-Drive
1280	0.11719373561377283	2.6132569128467757	mmWave-Drive
1290	0.11215261876830775	2.6500714037523303	mmWave-Drive
1300	0.11642922481323102	2.5925839269132207	mmWave-Drive
1310	0.11621250183349777	2.603626319424274	mmWave-Drive
1320	0.11479339793739375	2.5843097906401624	mmWave-Drive
1330	0.11724743416733062	2.5169006681603125	mmWave-Drive
1340	0.11473461591743224	2.5675140818229987	mmWave-Drive
1350	0.1126337824121975	2.56214739377415	mmWave-Drive
1360	0.1157826298127322	2.5925024171789524	mmWave-Drive
1370	0.1191085324989149	2.6129217869333154	mmWave-Drive
1380	0.11638748630569427	2.5757013344131385	mmWave-Drive
1390	0.11559787877994848	2.6287430234159617	mmWave-Drive
1400	0.11594224464982414	2.498241996270517	mmWave-Drive
1410	0.11344025904447563	2.6290668593680864	mmWave-Drive
1420	0.12030892657572817	2.5195602640422727	mmWave-Drive
1430	0.12066730399838721	2.570888484558589	mmWave-Drive
1440	0.11715532745407803	2.5887074159341994	mmWave-Drive
1450	0.12349595941737827	2.584013248445136	mmWave-Drive
1460	0.11753455552942152	2.6322708357911786	mmWave-Drive
1470	0.12020219490549575	2.59423087516764	mmWave-Drive
1480	0.12018016515524291	2.618383858649558	mmWave-Drive
1490	0.1209552495099104	2.629152026241919	mmWave-Drive
1500	0.12163407221686563	2.5420272814668223	mmWave-Drive
