	bitrate	stallTime	norm_br	config
0	0.2748091603053435	7.731818181818181	0.3797468354430379	Mid-band
1	0.4885496183206106	1.184090909090909	0.7341772151898734	Mid-band
2	0.648854961832061	1.2234848484848486	1.0	Mid-band
3	0.3511450381679389	4.537878787878788	0.5063291139240507	Mid-band
4	0.4809160305343511	1.3227272727272728	0.7215189873417722	Mid-band
5	0.4122137404580153	0.0	0.6075949367088608	Mid-band
6	0.648854961832061	0.3166666666666666	1.0	Mid-band
7	0.4094378903539209	0.0083333333333333	0.7797979797979798	mmWave
8	0.2886450381679389	6.388636363636363	0.5453703703703703	mmWave
9	0.4809160305343511	1.678030303030303	0.9185185185185184	mmWave
10	0.5229007633587787	0.0	1.0	mmWave
11	0.2748091603053435	0.0	0.5185185185185185	mmWave
12	0.4842557251908397	1.7803030303030305	0.925	mmWave
13	0.5095419847328244	1.465151515151515	0.974074074074074	mmWave
