time(ms)	MIMO_layers	MCS	config
710	0.0477177120912601	1.8287074718370606	mmWave-Walk
720	0.04811721049688538	1.8377953932203612	mmWave-Walk
730	0.04897777891381276	1.8453768579942338	mmWave-Walk
740	0.04915315861517241	1.8651260573288435	mmWave-Walk
750	0.049307315859652125	1.8685305299567776	mmWave-Walk
760	0.04980747195808152	1.8915297998320342	mmWave-Walk
770	0.05044182956320317	1.8414393613304936	mmWave-Walk
780	0.050871137877659706	1.879367403967866	mmWave-Walk
790	0.05225801228480494	1.8732500240797103	mmWave-Walk
800	0.05214799799037133	1.876062240363229	mmWave-Walk
810	0.05260747980153781	1.8593811520873746	mmWave-Walk
820	0.054543280459187986	1.8910353539784963	mmWave-Walk
830	0.05267612844774256	1.9020558616744232	mmWave-Walk
840	0.05383934826982856	1.8922704481989923	mmWave-Walk
850	0.05368277908385934	1.8563357919973813	mmWave-Walk
860	0.05470164822238929	1.8668924134883507	mmWave-Walk
870	0.05426229857837263	1.853030057909778	mmWave-Walk
880	0.05590735431422447	1.8245023249574788	mmWave-Walk
890	0.058215385213187094	1.865927296377591	mmWave-Walk
900	0.05870406457858948	1.916698206432643	mmWave-Walk
910	0.055746221811180496	1.8687365142765908	mmWave-Walk
920	0.05711433893065366	1.909663327276903	mmWave-Walk
930	0.056946822821716266	1.833867234116857	mmWave-Walk
940	0.058388489480236776	1.8554150193868932	mmWave-Walk
950	0.05872029296600795	1.878422650801233	mmWave-Walk
960	0.0572884959046638	1.8800387459889223	mmWave-Walk
970	0.05605147317885158	1.852461537978696	mmWave-Walk
980	0.05987421912644849	1.8721082883743885	mmWave-Walk
990	0.06118210716034983	1.8789605090847876	mmWave-Walk
1000	0.05956943729419908	1.8599175922406477	mmWave-Walk
1010	0.05735866046291976	1.8638462402047378	mmWave-Walk
1020	0.06091208316135857	1.885210575751906	mmWave-Walk
1030	0.0620909861908885	1.872819012848356	mmWave-Walk
1040	0.06100522302131967	1.8677068938625094	mmWave-Walk
1050	0.06153577745053479	1.9074211468854594	mmWave-Walk
1060	0.06058497606782572	1.9292785381487538	mmWave-Walk
1070	0.06223624405250886	1.8769891053335859	mmWave-Walk
1080	0.05786249962117375	1.894677787922647	mmWave-Walk
1090	0.062441579771556	1.9241496193123337	mmWave-Walk
1100	0.06179259854477851	1.8859196025461489	mmWave-Walk
1110	0.06372894222074399	1.905941395046416	mmWave-Walk
1120	0.06185351479754621	1.9092797779073658	mmWave-Walk
1130	0.06126948845291479	1.9133209295105709	mmWave-Walk
1140	0.06478089898307889	1.830422067546785	mmWave-Walk
1150	0.06128147007016229	1.9353488959856857	mmWave-Walk
1160	0.06299663936859891	1.915755053453252	mmWave-Walk
1170	0.06567373650525145	1.8759757904744612	mmWave-Walk
1180	0.06683875964641763	1.9066863030345578	mmWave-Walk
1190	0.06235396745797171	1.9118288649812452	mmWave-Walk
1200	0.06609512251485719	1.8433374826886575	mmWave-Walk
1210	0.06619786026606125	1.9490821273086363	mmWave-Walk
1220	0.06714184041913368	1.9394596050919595	mmWave-Walk
1230	0.06994832162875163	1.8935056089893914	mmWave-Walk
1240	0.0665239927061297	1.917210198503546	mmWave-Walk
1250	0.06948498735474112	1.9372691082666662	mmWave-Walk
1260	0.06720057911328534	1.8799911429970733	mmWave-Walk
1270	0.07220493281944197	1.9191478144828529	mmWave-Walk
1280	0.06968349621546673	1.8621452943301413	mmWave-Walk
1290	0.06958170311889585	1.8901892072100925	mmWave-Walk
1300	0.06846176570189881	1.8479625011520224	mmWave-Walk
1310	0.0683529353118001	1.8810164411601737	mmWave-Walk
1320	0.065727448475307	1.8562889787596653	mmWave-Walk
1330	0.070788110411398	1.8800990949675065	mmWave-Walk
1340	0.0726987889222067	1.926835184740644	mmWave-Walk
1350	0.06636019884921292	1.8827548967039394	mmWave-Walk
1360	0.07065793106174255	1.8681093884897835	mmWave-Walk
1370	0.07171598681216372	1.8907121524661978	mmWave-Walk
1380	0.07083807907700802	1.963897496650172	mmWave-Walk
1390	0.06937373170208701	1.9075011585578103	mmWave-Walk
1400	0.07157882555702227	1.8440975399433728	mmWave-Walk
1410	0.0714681487999707	1.854363515043385	mmWave-Walk
1420	0.07051259674534334	1.8765016170366482	mmWave-Walk
1430	0.0684189184456492	1.93951147470165	mmWave-Walk
1440	0.07039356761109199	1.9154923107274489	mmWave-Walk
1450	0.06761041912815544	1.8925840619293388	mmWave-Walk
1460	0.07416384902040642	1.8843192198261776	mmWave-Walk
1470	0.07335709044227698	1.86703638963064	mmWave-Walk
1480	0.07467100777465606	1.9740774824711933	mmWave-Walk
1490	0.07335430740122012	1.8223257083546014	mmWave-Walk
1500	0.07453262071851287	1.9050649262006663	mmWave-Walk
1510	0.07206454730467872	1.835852530448753	mmWave-Walk
1520	0.07350251203314362	1.8920684694478658	mmWave-Walk
1530	0.07209183695631005	1.8628853239709162	mmWave-Walk
1540	0.07268680711058141	1.844975454777526	mmWave-Walk
1550	0.0745417120335196	1.9275260615355012	mmWave-Walk
1560	0.07372323063080789	1.9056492373293143	mmWave-Walk
1570	0.07540814210490156	1.8828374084526438	mmWave-Walk
1580	0.0753077996311595	1.8308190571238732	mmWave-Walk
1590	0.0747976931532113	1.9332592846207692	mmWave-Walk
1600	0.0712500817694557	1.8845711769901266	mmWave-Walk
1610	0.07191274964332064	1.8351796840314407	mmWave-Walk
1620	0.07833286118136734	1.8418216470491493	mmWave-Walk
1630	0.07598011696034238	1.85463105516936	mmWave-Walk
1640	0.08051260393732024	1.9320814011956584	mmWave-Walk
