Tput(Mbps)	config
64.826	V_Sp_90Mhz
4.38	V_Sp_90Mhz
571.679	V_Sp_90Mhz
672.255	V_Sp_90Mhz
629.072	V_Sp_90Mhz
580.221	V_Sp_90Mhz
555.745	V_Sp_90Mhz
283.031	V_Sp_90Mhz
442.495	V_Sp_90Mhz
372.173	V_Sp_90Mhz
346.566	V_Sp_90Mhz
376.374	V_Sp_90Mhz
341.906	V_Sp_90Mhz
321.558	V_Sp_90Mhz
346.921	V_Sp_90Mhz
242.947	V_Sp_90Mhz
345.449	V_Sp_90Mhz
318.785	V_Sp_90Mhz
305.355	V_Sp_90Mhz
303.253	V_Sp_90Mhz
338.374	V_Sp_90Mhz
102.356	V_Sp_90Mhz
78.414	V_Sp_90Mhz
157.165	V_Sp_90Mhz
246.804	V_Sp_90Mhz
279.265	V_Sp_90Mhz
283.339	V_Sp_90Mhz
337.262	V_Sp_90Mhz
368.043	V_Sp_90Mhz
301.577	V_Sp_90Mhz
331.196	V_Sp_90Mhz
377.011	V_Sp_90Mhz
347.512	V_Sp_90Mhz
272.878	V_Sp_90Mhz
390.514	V_Sp_90Mhz
324.176	V_Sp_90Mhz
378.637	V_Sp_90Mhz
403.086	V_Sp_90Mhz
480.554	V_Sp_90Mhz
493.689	V_Sp_90Mhz
444.702	V_Sp_90Mhz
436.645	V_Sp_90Mhz
453.349	V_Sp_90Mhz
453.593	V_Sp_90Mhz
330.639	V_Sp_90Mhz
25.056	V_Sp_90Mhz
374.715	V_Sp_90Mhz
272.388	V_Sp_90Mhz
0.828	V_Sp_90Mhz
96.491	V_Sp_90Mhz
491.119	V_Sp_90Mhz
453.102	V_Sp_90Mhz
543.826	V_Sp_90Mhz
571.21	V_Sp_90Mhz
582.766	V_Sp_90Mhz
549.27	V_Sp_90Mhz
465.247	V_Sp_90Mhz
648.937	V_Sp_90Mhz
695.995	V_Sp_90Mhz
686.201	V_Sp_90Mhz
699.7	V_Sp_90Mhz
662.864	V_Sp_90Mhz
619.821	V_Sp_90Mhz
556.305	V_Sp_90Mhz
582.818	V_Sp_90Mhz
596.174	V_Sp_90Mhz
510.962	V_Sp_90Mhz
623.683	V_Sp_90Mhz
565.169	V_Sp_90Mhz
570.042	V_Sp_90Mhz
167.764	V_Sp_90Mhz
434.467	V_Sp_90Mhz
336.057	V_Sp_90Mhz
0.581	V_Sp_90Mhz
0.566	V_Sp_90Mhz
242.702	V_Sp_90Mhz
1.801	V_Sp_90Mhz
292.397	V_Sp_90Mhz
363.317	V_Sp_90Mhz
