Tput(Mbps)	config
187.943	O_Sp_100Mhz
264.122	O_Sp_100Mhz
226.553	O_Sp_100Mhz
210.854	O_Sp_100Mhz
244.617	O_Sp_100Mhz
141.839	O_Sp_100Mhz
243.561	O_Sp_100Mhz
267.565	O_Sp_100Mhz
285.514	O_Sp_100Mhz
340.13	O_Sp_100Mhz
297.981	O_Sp_100Mhz
315.837	O_Sp_100Mhz
326.122	O_Sp_100Mhz
349.256	O_Sp_100Mhz
345.544	O_Sp_100Mhz
297.129	O_Sp_100Mhz
302.296	O_Sp_100Mhz
394.039	O_Sp_100Mhz
268.935	O_Sp_100Mhz
263.53	O_Sp_100Mhz
285.58	O_Sp_100Mhz
287.108	O_Sp_100Mhz
398.905	O_Sp_100Mhz
353.013	O_Sp_100Mhz
339.121	O_Sp_100Mhz
307.554	O_Sp_100Mhz
235.172	O_Sp_100Mhz
303.228	O_Sp_100Mhz
228.015	O_Sp_100Mhz
268.66	O_Sp_100Mhz
182.85	O_Sp_100Mhz
218.273	O_Sp_100Mhz
209.79	O_Sp_100Mhz
178.259	O_Sp_100Mhz
199.567	O_Sp_100Mhz
167.586	O_Sp_100Mhz
178.923	O_Sp_100Mhz
154.038	O_Sp_100Mhz
118.385	O_Sp_100Mhz
101.779	O_Sp_100Mhz
103.019	O_Sp_100Mhz
113.667	O_Sp_100Mhz
123.73	O_Sp_100Mhz
164.646	O_Sp_100Mhz
145.155	O_Sp_100Mhz
161.475	O_Sp_100Mhz
147.493	O_Sp_100Mhz
112.525	O_Sp_100Mhz
124.291	O_Sp_100Mhz
90.755	O_Sp_100Mhz
96.95	O_Sp_100Mhz
65.762	O_Sp_100Mhz
74.038	O_Sp_100Mhz
76.975	O_Sp_100Mhz
51.902	O_Sp_100Mhz
28.603	O_Sp_100Mhz
37.064	O_Sp_100Mhz
29.569	O_Sp_100Mhz
23.834	O_Sp_100Mhz
36.064	O_Sp_100Mhz
33.305	O_Sp_100Mhz
28.261	O_Sp_100Mhz
39.02	O_Sp_100Mhz
34.964	O_Sp_100Mhz
30.063	O_Sp_100Mhz
30.587	O_Sp_100Mhz
42.249	O_Sp_100Mhz
36.756	O_Sp_100Mhz
46.91	O_Sp_100Mhz
45.52	O_Sp_100Mhz
52.267	O_Sp_100Mhz
37.404	O_Sp_100Mhz
43.05	O_Sp_100Mhz
75.662	O_Sp_100Mhz
304.794	O_Sp_100Mhz
165.403	O_Sp_100Mhz
104.431	O_Sp_100Mhz
87.358	O_Sp_100Mhz
81.811	O_Sp_100Mhz
62.367	O_Sp_100Mhz
29.311	O_Sp_100Mhz
13.675	O_Sp_100Mhz
0.784	O_Sp_100Mhz
16.056	O_Sp_100Mhz
39.895	O_Sp_100Mhz
47.581	O_Sp_100Mhz
45.99	O_Sp_100Mhz
47.713	O_Sp_100Mhz
28.08	O_Sp_100Mhz
22.513	O_Sp_100Mhz
21.396	O_Sp_100Mhz
25.239	O_Sp_100Mhz
18.651	O_Sp_100Mhz
20.428	O_Sp_100Mhz
24.315	O_Sp_100Mhz
57.314	O_Sp_100Mhz
207.301	O_Sp_100Mhz
272.044	O_Sp_100Mhz
85.552	O_Sp_100Mhz
128.907	O_Sp_100Mhz
125.539	O_Sp_100Mhz
132.18	O_Sp_100Mhz
155.068	O_Sp_100Mhz
96.61	O_Sp_100Mhz
66.038	O_Sp_100Mhz
0.247	O_Sp_100Mhz
15.006	O_Sp_100Mhz
121.009	O_Sp_100Mhz
136.79	O_Sp_100Mhz
133.544	O_Sp_100Mhz
79.158	O_Sp_100Mhz
92.502	O_Sp_100Mhz
111.334	O_Sp_100Mhz
155.743	O_Sp_100Mhz
183.781	O_Sp_100Mhz
166.043	O_Sp_100Mhz
167.906	O_Sp_100Mhz
164.378	O_Sp_100Mhz
212.764	O_Sp_100Mhz
152.054	O_Sp_100Mhz
118.905	O_Sp_100Mhz
135.425	O_Sp_100Mhz
102.471	O_Sp_100Mhz
91.351	O_Sp_100Mhz
75.343	O_Sp_100Mhz
83.737	O_Sp_100Mhz
66.636	O_Sp_100Mhz
79.087	O_Sp_100Mhz
78.548	O_Sp_100Mhz
73.72	O_Sp_100Mhz
84.813	O_Sp_100Mhz
80.463	O_Sp_100Mhz
76.68	O_Sp_100Mhz
68.465	O_Sp_100Mhz
72.273	O_Sp_100Mhz
98.366	O_Sp_100Mhz
87.23	O_Sp_100Mhz
79.046	O_Sp_100Mhz
65.322	O_Sp_100Mhz
40.281	O_Sp_100Mhz
32.154	O_Sp_100Mhz
7.904	O_Sp_100Mhz
0.829	O_Sp_100Mhz
17.949	O_Sp_100Mhz
32.048	O_Sp_100Mhz
5.484	O_Sp_100Mhz
187.748	O_Sp_100Mhz
257.094	O_Sp_100Mhz
247.521	O_Sp_100Mhz
226.635	O_Sp_100Mhz
254.52	O_Sp_100Mhz
261.747	O_Sp_100Mhz
241.722	O_Sp_100Mhz
224.717	O_Sp_100Mhz
203.281	O_Sp_100Mhz
213.676	O_Sp_100Mhz
171.853	O_Sp_100Mhz
182.565	O_Sp_100Mhz
0.0	O_Sp_100Mhz
228.979	O_Sp_100Mhz
264.78	O_Sp_100Mhz
263.478	O_Sp_100Mhz
277.401	O_Sp_100Mhz
289.809	O_Sp_100Mhz
252.458	O_Sp_100Mhz
323.265	O_Sp_100Mhz
248.352	O_Sp_100Mhz
281.304	O_Sp_100Mhz
284.06	O_Sp_100Mhz
264.561	O_Sp_100Mhz
273.205	O_Sp_100Mhz
234.981	O_Sp_100Mhz
136.154	O_Sp_100Mhz
268.575	O_Sp_100Mhz
254.989	O_Sp_100Mhz
250.305	O_Sp_100Mhz
200.167	O_Sp_100Mhz
296.25	O_Sp_100Mhz
221.92	O_Sp_100Mhz
247.128	O_Sp_100Mhz
236.025	O_Sp_100Mhz
159.699	O_Sp_100Mhz
94.054	O_Sp_100Mhz
301.176	O_Sp_100Mhz
323.041	O_Sp_100Mhz
313.482	O_Sp_100Mhz
307.328	O_Sp_100Mhz
335.25	O_Sp_100Mhz
322.788	O_Sp_100Mhz
385.44	O_Sp_100Mhz
297.246	O_Sp_100Mhz
263.005	O_Sp_100Mhz
338.966	O_Sp_100Mhz
273.636	O_Sp_100Mhz
369.118	O_Sp_100Mhz
343.538	O_Sp_100Mhz
325.613	O_Sp_100Mhz
349.731	O_Sp_100Mhz
346.01	O_Sp_100Mhz
335.471	O_Sp_100Mhz
256.277	O_Sp_100Mhz
200.457	O_Sp_100Mhz
160.186	O_Sp_100Mhz
295.481	O_Sp_100Mhz
330.068	O_Sp_100Mhz
411.038	O_Sp_100Mhz
355.158	O_Sp_100Mhz
273.229	O_Sp_100Mhz
278.516	O_Sp_100Mhz
279.669	O_Sp_100Mhz
295.385	O_Sp_100Mhz
288.355	O_Sp_100Mhz
321.498	O_Sp_100Mhz
290.319	O_Sp_100Mhz
286.543	O_Sp_100Mhz
221.167	O_Sp_100Mhz
273.699	O_Sp_100Mhz
290.519	O_Sp_100Mhz
264.8	O_Sp_100Mhz
218.184	O_Sp_100Mhz
286.111	O_Sp_100Mhz
277.137	O_Sp_100Mhz
341.885	O_Sp_100Mhz
371.652	O_Sp_100Mhz
354.409	O_Sp_100Mhz
374.68	O_Sp_100Mhz
310.813	O_Sp_100Mhz
344.61	O_Sp_100Mhz
381.234	O_Sp_100Mhz
330.398	O_Sp_100Mhz
342.106	O_Sp_100Mhz
312.139	O_Sp_100Mhz
315.575	O_Sp_100Mhz
261.277	O_Sp_100Mhz
369.358	O_Sp_100Mhz
328.093	O_Sp_100Mhz
294.542	O_Sp_100Mhz
281.098	O_Sp_100Mhz
267.817	O_Sp_100Mhz
198.839	O_Sp_100Mhz
298.985	O_Sp_100Mhz
357.468	O_Sp_100Mhz
395.0	O_Sp_100Mhz
445.159	O_Sp_100Mhz
415.757	O_Sp_100Mhz
568.64	O_Sp_100Mhz
393.094	O_Sp_100Mhz
425.713	O_Sp_100Mhz
468.68	O_Sp_100Mhz
435.692	O_Sp_100Mhz
417.258	O_Sp_100Mhz
378.592	O_Sp_100Mhz
302.872	O_Sp_100Mhz
282.699	O_Sp_100Mhz
314.711	O_Sp_100Mhz
337.104	O_Sp_100Mhz
397.911	O_Sp_100Mhz
360.133	O_Sp_100Mhz
101.246	O_Sp_100Mhz
420.094	O_Sp_100Mhz
388.979	O_Sp_100Mhz
426.991	O_Sp_100Mhz
353.665	O_Sp_100Mhz
307.503	O_Sp_100Mhz
307.208	O_Sp_100Mhz
276.652	O_Sp_100Mhz
293.105	O_Sp_100Mhz
319.988	O_Sp_100Mhz
333.055	O_Sp_100Mhz
373.581	O_Sp_100Mhz
413.319	O_Sp_100Mhz
489.667	O_Sp_100Mhz
459.33	O_Sp_100Mhz
541.62	O_Sp_100Mhz
444.773	O_Sp_100Mhz
500.687	O_Sp_100Mhz
452.579	O_Sp_100Mhz
420.906	O_Sp_100Mhz
459.368	O_Sp_100Mhz
420.671	O_Sp_100Mhz
320.89	O_Sp_100Mhz
382.345	O_Sp_100Mhz
146.03	O_Sp_100Mhz
319.069	O_Sp_100Mhz
432.759	O_Sp_100Mhz
421.751	O_Sp_100Mhz
349.168	O_Sp_100Mhz
346.806	O_Sp_100Mhz
269.274	O_Sp_100Mhz
317.218	O_Sp_100Mhz
393.299	O_Sp_100Mhz
267.371	O_Sp_100Mhz
251.69	O_Sp_100Mhz
289.094	O_Sp_100Mhz
264.833	O_Sp_100Mhz
254.642	O_Sp_100Mhz
241.091	O_Sp_100Mhz
217.349	O_Sp_100Mhz
357.58	O_Sp_100Mhz
268.732	O_Sp_100Mhz
218.377	O_Sp_100Mhz
287.651	O_Sp_100Mhz
282.985	O_Sp_100Mhz
336.321	O_Sp_100Mhz
401.573	O_Sp_100Mhz
361.705	O_Sp_100Mhz
385.662	O_Sp_100Mhz
368.76	O_Sp_100Mhz
343.204	O_Sp_100Mhz
364.715	O_Sp_100Mhz
148.571	O_Sp_100Mhz
383.99	O_Sp_100Mhz
343.333	O_Sp_100Mhz
306.381	O_Sp_100Mhz
147.132	O_Sp_100Mhz
314.385	O_Sp_100Mhz
300.369	O_Sp_100Mhz
237.263	O_Sp_100Mhz
194.328	O_Sp_100Mhz
290.002	O_Sp_100Mhz
358.79	O_Sp_100Mhz
392.07	O_Sp_100Mhz
355.486	O_Sp_100Mhz
170.392	O_Sp_100Mhz
210.135	O_Sp_100Mhz
273.73	O_Sp_100Mhz
332.346	O_Sp_100Mhz
447.268	O_Sp_100Mhz
395.84	O_Sp_100Mhz
398.575	O_Sp_100Mhz
167.665	O_Sp_100Mhz
69.69	O_Sp_100Mhz
320.125	O_Sp_100Mhz
321.332	O_Sp_100Mhz
299.045	O_Sp_100Mhz
293.935	O_Sp_100Mhz
192.404	O_Sp_100Mhz
267.937	O_Sp_100Mhz
108.232	O_Sp_100Mhz
381.08	O_Sp_100Mhz
391.568	O_Sp_100Mhz
398.34	O_Sp_100Mhz
398.992	O_Sp_100Mhz
439.538	O_Sp_100Mhz
310.706	O_Sp_100Mhz
309.235	O_Sp_100Mhz
375.95	O_Sp_100Mhz
391.188	O_Sp_100Mhz
389.449	O_Sp_100Mhz
440.959	O_Sp_100Mhz
386.654	O_Sp_100Mhz
65.799	O_Sp_100Mhz
230.868	O_Sp_100Mhz
396.54	O_Sp_100Mhz
117.491	O_Sp_100Mhz
345.976	O_Sp_100Mhz
91.213	O_Sp_100Mhz
367.828	O_Sp_100Mhz
464.272	O_Sp_100Mhz
442.791	O_Sp_100Mhz
422.482	O_Sp_100Mhz
281.923	O_Sp_100Mhz
446.517	O_Sp_100Mhz
467.296	O_Sp_100Mhz
473.54	O_Sp_100Mhz
297.691	O_Sp_100Mhz
369.874	O_Sp_100Mhz
419.767	O_Sp_100Mhz
471.961	O_Sp_100Mhz
493.994	O_Sp_100Mhz
451.386	O_Sp_100Mhz
420.723	O_Sp_100Mhz
350.228	O_Sp_100Mhz
385.751	O_Sp_100Mhz
172.17	O_Sp_100Mhz
275.575	O_Sp_100Mhz
332.736	O_Sp_100Mhz
432.546	O_Sp_100Mhz
367.392	O_Sp_100Mhz
338.926	O_Sp_100Mhz
311.493	O_Sp_100Mhz
326.407	O_Sp_100Mhz
315.85	O_Sp_100Mhz
345.755	O_Sp_100Mhz
391.92	O_Sp_100Mhz
397.88	O_Sp_100Mhz
331.77	O_Sp_100Mhz
243.152	O_Sp_100Mhz
289.037	O_Sp_100Mhz
239.026	O_Sp_100Mhz
322.983	O_Sp_100Mhz
296.406	O_Sp_100Mhz
338.998	O_Sp_100Mhz
363.841	O_Sp_100Mhz
372.985	O_Sp_100Mhz
259.54	O_Sp_100Mhz
348.078	O_Sp_100Mhz
238.735	O_Sp_100Mhz
388.215	O_Sp_100Mhz
308.342	O_Sp_100Mhz
460.665	O_Sp_100Mhz
451.829	O_Sp_100Mhz
309.215	O_Sp_100Mhz
430.856	O_Sp_100Mhz
443.316	O_Sp_100Mhz
350.19	O_Sp_100Mhz
303.761	O_Sp_100Mhz
273.467	O_Sp_100Mhz
362.129	O_Sp_100Mhz
309.134	O_Sp_100Mhz
349.216	O_Sp_100Mhz
311.115	O_Sp_100Mhz
316.548	O_Sp_100Mhz
342.746	O_Sp_100Mhz
371.533	O_Sp_100Mhz
250.989	O_Sp_100Mhz
265.685	O_Sp_100Mhz
251.572	O_Sp_100Mhz
327.604	O_Sp_100Mhz
392.747	O_Sp_100Mhz
352.451	O_Sp_100Mhz
58.18	O_Sp_100Mhz
261.385	O_Sp_100Mhz
439.157	O_Sp_100Mhz
496.796	O_Sp_100Mhz
395.961	O_Sp_100Mhz
308.745	O_Sp_100Mhz
338.725	O_Sp_100Mhz
319.791	O_Sp_100Mhz
340.687	O_Sp_100Mhz
292.049	O_Sp_100Mhz
322.808	O_Sp_100Mhz
227.282	O_Sp_100Mhz
205.605	O_Sp_100Mhz
386.407	O_Sp_100Mhz
429.148	O_Sp_100Mhz
398.09	O_Sp_100Mhz
134.185	O_Sp_100Mhz
448.229	O_Sp_100Mhz
524.538	O_Sp_100Mhz
532.929	O_Sp_100Mhz
397.848	O_Sp_100Mhz
402.873	O_Sp_100Mhz
332.739	O_Sp_100Mhz
345.792	O_Sp_100Mhz
369.429	O_Sp_100Mhz
262.35	O_Sp_100Mhz
185.925	O_Sp_100Mhz
404.582	O_Sp_100Mhz
486.089	O_Sp_100Mhz
420.864	O_Sp_100Mhz
452.56	O_Sp_100Mhz
419.389	O_Sp_100Mhz
516.761	O_Sp_100Mhz
462.785	O_Sp_100Mhz
394.685	O_Sp_100Mhz
155.533	O_Sp_100Mhz
36.521	O_Sp_100Mhz
278.909	O_Sp_100Mhz
417.934	O_Sp_100Mhz
418.864	O_Sp_100Mhz
531.552	O_Sp_100Mhz
517.591	O_Sp_100Mhz
388.059	O_Sp_100Mhz
476.254	O_Sp_100Mhz
516.83	O_Sp_100Mhz
515.394	O_Sp_100Mhz
489.498	O_Sp_100Mhz
490.022	O_Sp_100Mhz
542.885	O_Sp_100Mhz
632.42	O_Sp_100Mhz
478.305	O_Sp_100Mhz
57.487	O_Sp_100Mhz
306.027	O_Sp_100Mhz
497.863	O_Sp_100Mhz
525.273	O_Sp_100Mhz
476.205	O_Sp_100Mhz
489.545	O_Sp_100Mhz
