Tput(Mbps)	config
0.003	O_Sp_90Mhz
0.094	O_Sp_90Mhz
0.138	O_Sp_90Mhz
0.192	O_Sp_90Mhz
0.118	O_Sp_90Mhz
0.126	O_Sp_90Mhz
0.158	O_Sp_90Mhz
0.085	O_Sp_90Mhz
0.166	O_Sp_90Mhz
0.0	O_Sp_90Mhz
0.0	O_Sp_90Mhz
13.361	O_Sp_90Mhz
256.009	O_Sp_90Mhz
423.962	O_Sp_90Mhz
457.7	O_Sp_90Mhz
372.981	O_Sp_90Mhz
309.102	O_Sp_90Mhz
334.109	O_Sp_90Mhz
390.734	O_Sp_90Mhz
508.276	O_Sp_90Mhz
421.56	O_Sp_90Mhz
286.904	O_Sp_90Mhz
573.133	O_Sp_90Mhz
556.942	O_Sp_90Mhz
471.724	O_Sp_90Mhz
470.506	O_Sp_90Mhz
17.902	O_Sp_90Mhz
490.67	O_Sp_90Mhz
347.444	O_Sp_90Mhz
337.959	O_Sp_90Mhz
504.14	O_Sp_90Mhz
96.509	O_Sp_90Mhz
457.29	O_Sp_90Mhz
388.933	O_Sp_90Mhz
371.568	O_Sp_90Mhz
376.33	O_Sp_90Mhz
253.336	O_Sp_90Mhz
215.42	O_Sp_90Mhz
261.515	O_Sp_90Mhz
270.973	O_Sp_90Mhz
325.684	O_Sp_90Mhz
388.692	O_Sp_90Mhz
307.09	O_Sp_90Mhz
204.182	O_Sp_90Mhz
258.698	O_Sp_90Mhz
262.591	O_Sp_90Mhz
262.565	O_Sp_90Mhz
275.969	O_Sp_90Mhz
282.949	O_Sp_90Mhz
308.823	O_Sp_90Mhz
312.981	O_Sp_90Mhz
336.255	O_Sp_90Mhz
358.34	O_Sp_90Mhz
399.693	O_Sp_90Mhz
495.539	O_Sp_90Mhz
411.967	O_Sp_90Mhz
351.573	O_Sp_90Mhz
363.998	O_Sp_90Mhz
302.66	O_Sp_90Mhz
408.53	O_Sp_90Mhz
468.644	O_Sp_90Mhz
503.999	O_Sp_90Mhz
435.174	O_Sp_90Mhz
397.855	O_Sp_90Mhz
528.956	O_Sp_90Mhz
290.473	O_Sp_90Mhz
380.36	O_Sp_90Mhz
391.554	O_Sp_90Mhz
386.16	O_Sp_90Mhz
398.23	O_Sp_90Mhz
385.186	O_Sp_90Mhz
354.622	O_Sp_90Mhz
345.757	O_Sp_90Mhz
361.773	O_Sp_90Mhz
394.524	O_Sp_90Mhz
279.699	O_Sp_90Mhz
350.252	O_Sp_90Mhz
290.314	O_Sp_90Mhz
341.648	O_Sp_90Mhz
228.071	O_Sp_90Mhz
201.309	O_Sp_90Mhz
155.732	O_Sp_90Mhz
155.731	O_Sp_90Mhz
171.704	O_Sp_90Mhz
