Tput(Mbps)	config
853.632	V_It_90Mhz
874.476	V_It_90Mhz
873.166	V_It_90Mhz
907.608	V_It_90Mhz
847.781	V_It_90Mhz
924.269	V_It_90Mhz
929.107	V_It_90Mhz
949.903	V_It_90Mhz
861.476	V_It_90Mhz
709.12	V_It_90Mhz
865.845	V_It_90Mhz
951.976	V_It_90Mhz
869.393	V_It_90Mhz
898.914	V_It_90Mhz
962.617	V_It_90Mhz
880.395	V_It_90Mhz
943.903	V_It_90Mhz
819.081	V_It_90Mhz
881.951	V_It_90Mhz
865.738	V_It_90Mhz
856.257	V_It_90Mhz
931.109	V_It_90Mhz
851.24	V_It_90Mhz
875.053	V_It_90Mhz
859.554	V_It_90Mhz
903.919	V_It_90Mhz
891.259	V_It_90Mhz
928.2	V_It_90Mhz
746.274	V_It_90Mhz
727.141	V_It_90Mhz
776.02	V_It_90Mhz
836.538	V_It_90Mhz
860.719	V_It_90Mhz
907.197	V_It_90Mhz
990.369	V_It_90Mhz
920.534	V_It_90Mhz
846.843	V_It_90Mhz
876.51	V_It_90Mhz
848.143	V_It_90Mhz
930.112	V_It_90Mhz
980.79	V_It_90Mhz
1028.059	V_It_90Mhz
950.484	V_It_90Mhz
842.059	V_It_90Mhz
919.761	V_It_90Mhz
859.96	V_It_90Mhz
840.417	V_It_90Mhz
887.421	V_It_90Mhz
900.655	V_It_90Mhz
908.596	V_It_90Mhz
989.339	V_It_90Mhz
935.652	V_It_90Mhz
963.596	V_It_90Mhz
922.155	V_It_90Mhz
991.172	V_It_90Mhz
1010.587	V_It_90Mhz
906.168	V_It_90Mhz
674.322	V_It_90Mhz
935.25	V_It_90Mhz
973.296	V_It_90Mhz
929.492	V_It_90Mhz
899.844	V_It_90Mhz
1051.396	V_It_90Mhz
862.174	V_It_90Mhz
876.001	V_It_90Mhz
1014.219	V_It_90Mhz
907.937	V_It_90Mhz
954.116	V_It_90Mhz
933.045	V_It_90Mhz
876.445	V_It_90Mhz
822.603	V_It_90Mhz
908.153	V_It_90Mhz
830.505	V_It_90Mhz
826.332	V_It_90Mhz
818.83	V_It_90Mhz
746.247	V_It_90Mhz
772.665	V_It_90Mhz
803.893	V_It_90Mhz
790.559	V_It_90Mhz
771.51	V_It_90Mhz
668.119	V_It_90Mhz
763.124	V_It_90Mhz
772.036	V_It_90Mhz
897.778	V_It_90Mhz
845.168	V_It_90Mhz
912.282	V_It_90Mhz
965.722	V_It_90Mhz
963.398	V_It_90Mhz
978.765	V_It_90Mhz
958.218	V_It_90Mhz
919.956	V_It_90Mhz
692.453	V_It_90Mhz
944.861	V_It_90Mhz
848.656	V_It_90Mhz
958.717	V_It_90Mhz
886.06	V_It_90Mhz
917.898	V_It_90Mhz
819.004	V_It_90Mhz
845.667	V_It_90Mhz
812.223	V_It_90Mhz
768.912	V_It_90Mhz
848.923	V_It_90Mhz
858.99	V_It_90Mhz
759.384	V_It_90Mhz
846.479	V_It_90Mhz
894.089	V_It_90Mhz
857.645	V_It_90Mhz
863.932	V_It_90Mhz
902.332	V_It_90Mhz
781.411	V_It_90Mhz
840.162	V_It_90Mhz
814.345	V_It_90Mhz
856.949	V_It_90Mhz
785.534	V_It_90Mhz
854.151	V_It_90Mhz
878.558	V_It_90Mhz
875.281	V_It_90Mhz
868.342	V_It_90Mhz
811.634	V_It_90Mhz
832.289	V_It_90Mhz
771.216	V_It_90Mhz
722.891	V_It_90Mhz
875.296	V_It_90Mhz
800.966	V_It_90Mhz
865.769	V_It_90Mhz
919.903	V_It_90Mhz
955.854	V_It_90Mhz
814.421	V_It_90Mhz
837.897	V_It_90Mhz
814.006	V_It_90Mhz
823.948	V_It_90Mhz
875.26	V_It_90Mhz
858.273	V_It_90Mhz
872.196	V_It_90Mhz
935.996	V_It_90Mhz
813.118	V_It_90Mhz
885.216	V_It_90Mhz
746.477	V_It_90Mhz
767.377	V_It_90Mhz
663.89	V_It_90Mhz
682.895	V_It_90Mhz
666.154	V_It_90Mhz
829.095	V_It_90Mhz
745.04	V_It_90Mhz
746.273	V_It_90Mhz
666.058	V_It_90Mhz
684.335	V_It_90Mhz
742.879	V_It_90Mhz
745.7	V_It_90Mhz
755.458	V_It_90Mhz
809.361	V_It_90Mhz
817.421	V_It_90Mhz
850.22	V_It_90Mhz
783.5	V_It_90Mhz
847.039	V_It_90Mhz
860.89	V_It_90Mhz
836.421	V_It_90Mhz
773.806	V_It_90Mhz
733.824	V_It_90Mhz
901.419	V_It_90Mhz
865.909	V_It_90Mhz
918.136	V_It_90Mhz
975.005	V_It_90Mhz
822.205	V_It_90Mhz
882.78	V_It_90Mhz
880.671	V_It_90Mhz
