time(ms)	Tput(Mbps)	config
0		O_Sp_100Mhz
100	109.54913298928146	O_Sp_100Mhz
200	103.39417791898332	O_Sp_100Mhz
300	88.17222566547477	O_Sp_100Mhz
400	70.76606279809221	O_Sp_100Mhz
500	63.98091610337973	O_Sp_100Mhz
600	61.12563245823389	O_Sp_100Mhz
700	62.536192200557096	O_Sp_100Mhz
800	60.96101671974522	O_Sp_100Mhz
900	59.41537275985664	O_Sp_100Mhz
1000	57.7550780876494	O_Sp_100Mhz
1100	59.37365899166336	O_Sp_100Mhz
1200	55.02324681020734	O_Sp_100Mhz
1300	53.51204424073335	O_Sp_100Mhz
1400	52.79547366320829	O_Sp_100Mhz
1500	57.96536087824351	O_Sp_100Mhz
1600	52.17439689490447	O_Sp_100Mhz
1700	52.659576709062016	O_Sp_100Mhz
1800	53.009900079936045	O_Sp_100Mhz
1900	50.511763423710796	O_Sp_100Mhz
2000	54.214538399999995	O_Sp_100Mhz
