time(ms)	MimoLayers	config
0		O_Sp_100Mhz
100	0.030495837324099315	O_Sp_100Mhz
200	0.03979971944218505	O_Sp_100Mhz
300	0.048430113991347494	O_Sp_100Mhz
400	0.05732868880480013	O_Sp_100Mhz
500	0.06632874088263464	O_Sp_100Mhz
600	0.07520835543610238	O_Sp_100Mhz
700	0.08445885213291093	O_Sp_100Mhz
800	0.0933661440528115	O_Sp_100Mhz
900	0.10322507205630119	O_Sp_100Mhz
1000	0.11274902746669811	O_Sp_100Mhz
1100	0.12158247302669775	O_Sp_100Mhz
1200	0.13088670415296294	O_Sp_100Mhz
1300	0.1394258398587735	O_Sp_100Mhz
1400	0.14874174078592942	O_Sp_100Mhz
1500	0.15691104940032927	O_Sp_100Mhz
1600	0.16523519862040162	O_Sp_100Mhz
1700	0.17268802310503362	O_Sp_100Mhz
1800	0.17999118820693275	O_Sp_100Mhz
1900	0.18540909640134268	O_Sp_100Mhz
2000	0.19133855947188494	O_Sp_100Mhz
