time(ms)	MimoLayers	config
0		O_Sp_90Mhz
1	0.026193874251563772	O_Sp_90Mhz
4	0.04197932810775252	O_Sp_90Mhz
9	0.07188214305625244	O_Sp_90Mhz
16	0.11727844431559699	O_Sp_90Mhz
25	0.15257648616628333	O_Sp_90Mhz
36	0.17211350839047782	O_Sp_90Mhz
49	0.17245887564150095	O_Sp_90Mhz
64	0.1723935102586976	O_Sp_90Mhz
81	0.17084880725350463	O_Sp_90Mhz
100	0.1653666016169501	O_Sp_90Mhz
121	0.1604850492410301	O_Sp_90Mhz
144	0.1621866497167581	O_Sp_90Mhz
169	0.15386567322331843	O_Sp_90Mhz
196	0.14946191591390656	O_Sp_90Mhz
225	0.14625679631953156	O_Sp_90Mhz
256	0.14743932905067808	O_Sp_90Mhz
289	0.1478214075600378	O_Sp_90Mhz
324	0.14741487949858922	O_Sp_90Mhz
361	0.14154762004390847	O_Sp_90Mhz
400	0.1397739955357143	O_Sp_90Mhz
441	0.13619666808912986	O_Sp_90Mhz
484	0.13985735157983958	O_Sp_90Mhz
529	0.1378149901578645	O_Sp_90Mhz
576	0.12883786620221507	O_Sp_90Mhz
625	0.13297033158813262	O_Sp_90Mhz
676	0.12854471363179637	O_Sp_90Mhz
729	0.12825788751714678	O_Sp_90Mhz
784	0.13050674317867192	O_Sp_90Mhz
841	0.12888468344749432	O_Sp_90Mhz
900	0.12186767169179233	O_Sp_90Mhz
961	0.12284176726097981	O_Sp_90Mhz
1024	0.12242466517857142	O_Sp_90Mhz
1089	0.11926113860349837	O_Sp_90Mhz
1156	0.12181326040852773	O_Sp_90Mhz
1225	0.12126922001677384	O_Sp_90Mhz
1296	0.12035639202003938	O_Sp_90Mhz
1369	0.1146097614015914	O_Sp_90Mhz
1444	0.11642447055669732	O_Sp_90Mhz
1521	0.11339404367227607	O_Sp_90Mhz
1600	0.10741071428571429	O_Sp_90Mhz
1681	0.11554713966926686	O_Sp_90Mhz
1764	0.11721010243177729	O_Sp_90Mhz
1849	0.10843420517080844	O_Sp_90Mhz
1936	0.10569577842305117	O_Sp_90Mhz
2025	0.1098863081537281	O_Sp_90Mhz
2116	0.10374324671983534	O_Sp_90Mhz
2209	0.10445204522464217	O_Sp_90Mhz
2304	0.10624091875581694	O_Sp_90Mhz
2401	0.10551252414402276	O_Sp_90Mhz
2500	0.10455104895104893	O_Sp_90Mhz
2601	0.11197199540146864	O_Sp_90Mhz
2704	0.1077179299600412	O_Sp_90Mhz
2809	0.12118751903384768	O_Sp_90Mhz
2916	0.10129980929438924	O_Sp_90Mhz
3025	0.10147907418644202	O_Sp_90Mhz
3136	0.1074169799498747	O_Sp_90Mhz
3249	0.10892302526651558	O_Sp_90Mhz
3364	0.10836251365212499	O_Sp_90Mhz
3481	0.10959076038299449	O_Sp_90Mhz
3600	0.11225421520440677	O_Sp_90Mhz
3721	0.11393587689131673	O_Sp_90Mhz
3844	0.10352958947333087	O_Sp_90Mhz
3969	0.11202167676687312	O_Sp_90Mhz
